,subjID,DOC,DOI,POC,POI,mid,ans,bll,lf,mDOC,mDOI,mPOC,mPOI,rmse
0,06hegj8j20201103,1.0,1.0,0.6,0.8,86.0,0.75,0.5,0.3,0.6940000000000002,0.6619999999999999,0.3420000000000001,0.386,0.32861970452558503
1,08pg7vs020201109,1.0,0.8,1.0,0.8,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
2,0l8rg1mg20201128,0.2,0.2,0.0,0.0,113.0,1.0,0.5,0.7,0.584,0.5920000000000002,0.392,0.396,0.31359160381778883
3,0uj1405b20200308,1.0,0.75,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
4,156cuu2w20201110,1.0,1.0,0.8,0.8,141.0,1.5,0.7,0.3,0.6279999999999999,0.644,0.4340000000000002,0.406,0.29176015794300797
5,18hkpswn20201104,0.6,0.0,0.33299999999999996,0.4,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
6,1az8fajr20200228,0.8,1.0,0.6,0.8,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
7,1nl62prr20201102,0.8,1.0,1.0,0.6,132.0,1.5,0.3,0.5,0.604,0.6080000000000001,0.4480000000000001,0.3920000000000001,0.3264254199126501
8,1xfwyety20200129,0.6,0.8,1.0,1.0,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
9,2g561hrg20200114,0.6,1.0,0.6,0.6,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
10,2l0c9f5y20201201,0.6,0.8,1.0,1.0,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
11,2njwll2120201105,1.0,0.5,0.75,0.75,140.0,1.5,0.7,0.1,0.5980000000000002,0.5580000000000002,0.452,0.428,0.3403037306630544
12,2tobc1y520200127,0.33299999999999996,0.8,0.5,0.8,142.0,1.5,0.7,0.5,0.552,0.5760000000000002,0.396,0.448,0.3111240834113087
13,3buyh5cf20201201,1.0,1.0,0.2,0.6,58.0,0.5,0.3,0.7,0.7220000000000002,0.7300000000000003,0.242,0.2960000000000001,0.4413526907455356
14,3eawrh7a20200127,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
15,3oa8oht020201103,1.0,0.25,0.4,0.6,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
16,3r2ryu3720201113,1.0,1.0,0.6,0.6,74.0,0.5,0.9,0.9,0.726,0.738,0.3120000000000001,0.3120000000000001,0.3953536032389593
17,3snwhrt620201123,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
18,3t6e4bdy20201116,1.0,1.0,0.8,0.4,71.0,0.5,0.9,0.3,0.6940000000000004,0.7200000000000002,0.338,0.25199999999999995,0.43296364423866507
19,4keyrr2d20201120,0.6,0.8,0.8,0.8,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
20,4mp9c1lx20201102,0.2,0.8,0.2,0.4,106.0,1.0,0.3,0.3,0.5839999999999999,0.6319999999999999,0.34800000000000003,0.376,0.3085369419404642
21,52eq140x20200217,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
22,568mzqtf20201105,0.6,1.0,1.0,0.8,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
