,subjID,AC,AI,PC,PI,mid,alpha,egs,mAC,mAI,mPC,mPI,r1,r2,rmse
0,1,1.0,1.0,0.909,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
1,3,0.833,1.0,0.41700000000000004,0.5,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
2,4,0.917,0.5,0.33299999999999996,0.33299999999999996,107.0,0.1,0.5,0.8019999999999999,0.488,0.20799999999999996,0.496,10.0,0.0,0.5608503952945013
3,5,1.0,1.0,0.833,0.833,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
4,6,1.0,1.0,0.917,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
5,7,0.917,1.0,0.667,0.667,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
6,8,0.75,0.833,0.0,0.16699999999999998,358.0,0.3,1.3,0.8199999999999996,0.5219999999999999,0.14999999999999994,0.5,10.0,-0.1,0.5910580804329157
7,9,0.75,1.0,0.273,0.5,179.0,0.1,1.3,0.6140000000000001,0.5359999999999999,0.3800000000000001,0.5059999999999999,10.0,0.0,0.35434478776360473
8,13,0.917,1.0,0.917,0.667,485.0,0.5,0.9,0.5080000000000001,0.5039999999999999,0.488,0.456,0.5,0.0,0.4053871584097461
9,14,0.917,1.0,0.917,0.33299999999999996,485.0,0.5,0.9,0.5080000000000001,0.5039999999999999,0.488,0.456,0.5,0.0,0.4053871584097461
10,15,0.75,0.833,0.583,0.33299999999999996,485.0,0.5,0.9,0.5080000000000001,0.5039999999999999,0.488,0.456,0.5,0.0,0.4053871584097461
11,16,0.917,1.0,0.667,0.667,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
12,17,1.0,1.0,0.917,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
13,18,0.75,1.0,0.16699999999999998,0.16699999999999998,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
14,20,0.182,0.8,0.1,0.16699999999999998,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
15,21,0.909,0.833,0.917,1.0,651.0,0.7,0.9,0.5099999999999999,0.448,0.552,0.6000000000000001,0.0,-0.5,0.4682491518587972
16,22,1.0,1.0,0.667,1.0,635.0,0.7,0.5,0.6719999999999999,0.492,0.31,0.5640000000000002,1.0,0.0,0.4532308106079447
17,24,0.833,1.0,0.583,0.667,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
18,25,0.833,1.0,0.667,0.833,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
19,26,1.0,1.0,0.917,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
