,subjID,DOC,DOI,POC,POI,mid,ans,bll,ga,lf,mDOC,mDOI,mPOC,mPOI,mas,rmse
0,06hegj8j20201103,1.0,1.0,0.6,0.8,1296.0,1.5,0.5,0.5,0.5,0.6,0.6699999999999998,0.41400000000000015,0.4059999999999999,2.8,0.2840324877194348
1,08pg7vs020201109,1.0,0.8,1.0,0.8,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
2,0l8rg1mg20201128,0.2,0.2,0.0,0.0,1309.0,1.5,0.5,0.5,0.7,0.6140000000000001,0.598,0.40400000000000014,0.374,3.2,0.33279621272043763
3,0uj1405b20200308,1.0,0.75,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
4,156cuu2w20201110,1.0,1.0,0.8,0.8,1203.0,1.5,0.1,1.0,0.5,0.6360000000000001,0.6659999999999999,0.43,0.3900000000000001,2.8,0.2979132939322536
5,18hkpswn20201104,0.6,0.0,0.33299999999999996,0.4,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
6,1az8fajr20200228,0.8,1.0,0.6,0.8,1176.0,1.0,0.9,0.5,0.9,0.5780000000000001,0.708,0.38,0.384,2.8,0.3189135548710736
7,1nl62prr20201102,0.8,1.0,1.0,0.6,1331.0,1.5,0.5,2.0,0.9,0.5640000000000002,0.7780000000000001,0.4799999999999999,0.21600000000000005,3.6,0.5102337299593624
8,1xfwyety20200129,0.6,0.8,1.0,1.0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.416,2.8,0.2988532693224191
9,2g561hrg20200114,0.6,1.0,0.6,0.6,1432.0,1.5,0.9,1.0,1.0,0.5539999999999999,0.7119999999999999,0.418,0.3520000000000001,3.2,0.3600645359039817
10,2l0c9f5y20201201,0.6,0.8,1.0,1.0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.416,2.8,0.2988532693224191
11,2njwll2120201105,1.0,0.5,0.75,0.75,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
12,2tobc1y520200127,0.33299999999999996,0.8,0.5,0.8,1396.0,1.5,0.9,1.0,0.5,0.5279999999999998,0.6800000000000003,0.4100000000000001,0.3720000000000001,3.2,0.35150374413999563
13,3buyh5cf20201201,1.0,1.0,0.2,0.6,672.0,0.5,0.9,0.5,0.5,0.7319999999999999,0.8419999999999997,0.28,0.232,2.8,0.4954866520138408
14,3eawrh7a20200127,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
15,3oa8oht020201103,1.0,0.25,0.4,0.6,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
16,3r2ryu3720201113,1.0,1.0,0.6,0.6,936.0,0.75,0.9,0.5,0.9,0.6920000000000001,0.7539999999999994,0.37999999999999984,0.31999999999999995,2.8,0.3642453833867004
17,3snwhrt620201123,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
18,3t6e4bdy20201116,1.0,1.0,0.8,0.4,1109.0,1.0,0.7,1.0,0.5,0.6559999999999999,0.7899999999999995,0.412,0.226,3.6,0.465900493706507
19,4keyrr2d20201120,0.6,0.8,0.8,0.8,1261.0,1.5,0.3,0.5,0.7,0.56,0.6460000000000001,0.43,0.412,3.2,0.3039417529223076
20,4mp9c1lx20201102,0.2,0.8,0.2,0.4,1289.0,1.5,0.3,1.0,1.0,0.5240000000000001,0.6940000000000002,0.386,0.322,3.6,0.3923552453633531
21,52eq140x20200217,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
22,568mzqtf20201105,0.6,1.0,1.0,0.8,1353.0,1.5,0.7,2.0,0.5,0.5579999999999999,0.6839999999999999,0.462,0.336,2.8,0.378860685325028
23,5vahoc0o20200127,1.0,0.4,0.6,0.75,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
24,5vvjswl220201208,0.2,0.6,0.2,0.2,1289.0,1.5,0.3,1.0,1.0,0.5240000000000001,0.6940000000000002,0.386,0.322,3.6,0.3923552453633531
25,60a2h15h20201105,0.2,0.6,0.6,0.6,1286.0,1.5,0.3,0.5,1.0,0.5259999999999999,0.6260000000000001,0.426,0.362,3.6,0.36005838310488303
26,70on3oc120200214,0.8,0.4,0.4,0.6,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
27,7c7ybket20200127,0.6,0.4,0.8,0.4,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
28,7t97zebw20200211,1.0,0.8,0.8,0.6,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
29,85kcpq4820200308,0.75,1.0,1.0,0.4,1439.0,1.5,0.9,2.0,1.0,0.578,0.8219999999999998,0.4779999999999999,0.21799999999999986,3.6,0.5145937157149634
30,8g0oakbb20200214,0.6,0.8,0.6,0.6,1261.0,1.5,0.3,0.5,0.7,0.56,0.6460000000000001,0.43,0.412,3.2,0.3039417529223076
31,8s6t5xb720200129,0.8,0.33299999999999996,0.8,0.75,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
32,8xrzkbzl20201113,0.2,0.4,0.0,0.0,1289.0,1.5,0.3,1.0,1.0,0.5240000000000001,0.6940000000000002,0.386,0.322,3.6,0.3923552453633531
33,90za526r20200217,1.0,1.0,0.4,0.6,672.0,0.5,0.9,0.5,0.5,0.7319999999999999,0.8419999999999997,0.28,0.232,2.8,0.4954866520138408
34,97b1s46u20201106,1.0,0.8,0.8,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
35,9psntbym20201207,0.8,0.6,0.0,0.4,876.0,0.75,0.7,0.5,0.7,0.6520000000000001,0.6659999999999998,0.342,0.322,2.8,0.3623865508656085
36,9q080hvl20201204,1.0,1.0,0.6,0.6,936.0,0.75,0.9,0.5,0.9,0.6920000000000001,0.7539999999999994,0.37999999999999984,0.31999999999999995,2.8,0.3642453833867004
37,ac6pz6rt20201102,0.0,0.6,0.0,0.2,1289.0,1.5,0.3,1.0,1.0,0.5240000000000001,0.6940000000000002,0.386,0.322,3.6,0.3923552453633531
38,ackgo30v20200227,0.8,1.0,1.0,1.0,1261.0,1.5,0.3,0.5,0.7,0.56,0.6460000000000001,0.43,0.412,3.2,0.3039417529223076
39,aherzvzb20201106,0.4,0.4,0.2,0.4,1345.0,1.5,0.7,0.5,0.5,0.546,0.6160000000000001,0.39799999999999996,0.402,3.2,0.3100975969223329
40,ak018tef20201118,0.8,1.0,0.8,1.0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.416,2.8,0.2988532693224191
41,am6ox9ao20201114,1.0,0.4,0.4,0.6,1309.0,1.5,0.5,0.5,0.7,0.6140000000000001,0.598,0.40400000000000014,0.374,3.2,0.33279621272043763
42,awveeytc20201103,1.0,1.0,1.0,0.8,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
43,b9zlolfy20200115,0.6,1.0,0.8,0.5,1439.0,1.5,0.9,2.0,1.0,0.578,0.8219999999999998,0.4779999999999999,0.21799999999999986,3.6,0.5145937157149634
44,bdhboees20201112,1.0,1.0,1.0,0.8,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
45,bjmjt11l20200129,0.0,0.0,0.0,0.0,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
46,blhofw6920201105,1.0,1.0,0.4,0.6,672.0,0.5,0.9,0.5,0.5,0.7319999999999999,0.8419999999999997,0.28,0.232,2.8,0.4954866520138408
47,bnlv90xh20201104,1.0,0.6,0.8,0.8,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
48,bs5meo4o20200214,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
49,bsd3r0g520200208,1.0,0.8,0.4,0.6,876.0,0.75,0.7,0.5,0.7,0.6520000000000001,0.6659999999999998,0.342,0.322,2.8,0.3623865508656085
50,byybve5p20200301,0.75,0.75,0.8,0.4,1386.0,1.5,0.7,1.5,1.0,0.6020000000000003,0.6960000000000001,0.4739999999999999,0.32,2.8,0.3817662061420791
51,cm9hz4em20200226,0.0,0.25,0.5,0.25,1344.0,1.5,0.7,0.5,0.5,0.516,0.604,0.436,0.33799999999999997,2.8,0.3907140815385402
52,ct0z9wus20201202,0.0,0.0,,0.0,1344.0,1.5,0.7,0.5,0.5,0.516,0.604,0.436,0.33799999999999997,2.8,0.3907140815385402
53,d2xtpd3v20200213,1.0,1.0,0.4,0.6,672.0,0.5,0.9,0.5,0.5,0.7319999999999999,0.8419999999999997,0.28,0.232,2.8,0.4954866520138408
54,dhnyqv2x20201111,0.6,0.5,0.4,0.0,1208.0,1.5,0.1,1.5,0.5,0.63,0.7060000000000002,0.4300000000000001,0.25199999999999995,3.6,0.4334370486686903
55,dkhfaswf20200127,0.6,0.667,0.6,0.2,1331.0,1.5,0.5,2.0,0.9,0.5640000000000002,0.7780000000000001,0.4799999999999999,0.21600000000000005,3.6,0.5102337299593624
56,dua9l90b20201126,1.0,0.6,0.8,0.2,1208.0,1.5,0.1,1.5,0.5,0.63,0.7060000000000002,0.4300000000000001,0.25199999999999995,3.6,0.4334370486686903
57,e8v50m3620201123,1.0,0.6,0.6,0.75,1356.0,1.5,0.7,0.5,0.7,0.6200000000000001,0.61,0.4320000000000001,0.3880000000000001,2.8,0.3228989018814527
58,epegm9yj20201204,1.0,0.6,1.0,0.6,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
59,ervf6ysh20201119,1.0,0.8,0.6,0.4,864.0,0.75,0.7,0.5,0.5,0.688,0.738,0.3980000000000001,0.336,2.8,0.3450032871297957
60,etva11td20201113,1.0,1.0,0.4,0.4,708.0,0.5,0.9,0.5,1.0,0.7440000000000001,0.8,0.262,0.208,2.8,0.5129627998468079
61,eychrpxv20201114,1.0,1.0,0.8,1.0,1380.0,1.5,0.7,0.5,1.0,0.5780000000000002,0.6200000000000001,0.4180000000000001,0.4099999999999999,2.8,0.298518876332036
62,f10pqxun20200128,0.8,0.8,0.4,0.2,648.0,0.5,0.7,0.5,0.9,0.7399999999999998,0.7999999999999997,0.30800000000000005,0.16799999999999998,2.8,0.5353350881692751
