,subjID,DOC,DOI,POC,POI,mid,alpha,egs,mDOC,mDOI,mPOC,mPOI,r1,r2,rmse
0,06hegj8j20201103,1.0,1.0,0.6,0.8,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
1,08pg7vs020201109,1.0,0.8,1.0,0.8,262.0,0.3,0.5,0.5399999999999999,0.4760000000000002,0.5479999999999999,0.5259999999999998,0.1,-0.1,0.4291374471407887
2,0l8rg1mg20201128,0.2,0.2,0.0,0.0,137.0,0.1,0.9,0.5619999999999998,0.5100000000000001,0.41000000000000014,0.47200000000000003,5.0,0.0,0.36840153993429614
3,0uj1405b20200308,1.0,0.75,1.0,1.0,169.0,0.1,1.3,0.5760000000000001,0.3979999999999999,0.4919999999999998,0.5720000000000001,5.0,-5.0,0.48925794079924895
4,156cuu2w20201110,1.0,1.0,0.8,0.8,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
5,18hkpswn20201104,0.6,0.0,0.33299999999999996,0.4,57.0,0.1,0.1,0.6599999999999998,0.3400000000000001,0.3619999999999999,0.5880000000000002,1.0,-0.5,0.5790886438359638
6,1az8fajr20200228,0.8,1.0,0.6,0.8,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
7,1nl62prr20201102,0.8,1.0,1.0,0.6,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
8,1xfwyety20200129,0.6,0.8,1.0,1.0,761.0,0.9,0.1,0.348,0.378,0.632,0.6380000000000002,0.0,0.0,0.6333857944205129
9,2g561hrg20200114,0.6,1.0,0.6,0.6,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
10,2l0c9f5y20201201,0.6,0.8,1.0,1.0,761.0,0.9,0.1,0.348,0.378,0.632,0.6380000000000002,0.0,0.0,0.6333857944205129
11,2njwll2120201105,1.0,0.5,0.75,0.75,662.0,0.7,0.9,0.6059999999999999,0.3520000000000001,0.466,0.6380000000000001,0.5,-1.0,0.5521670209924573
12,2tobc1y520200127,0.33299999999999996,0.8,0.5,0.8,81.0,0.1,0.5,0.4579999999999999,0.54,0.5040000000000001,0.5319999999999999,0.1,-0.5,0.40999692802017457
13,3buyh5cf20201201,1.0,1.0,0.2,0.6,358.0,0.3,1.3,0.8199999999999996,0.5219999999999999,0.14999999999999994,0.5,10.0,-0.1,0.5910580804329157
14,3eawrh7a20200127,1.0,1.0,1.0,1.0,868.0,0.9,1.3,0.5120000000000001,0.518,0.514,0.5320000000000003,0.0,-0.1,0.3945320884413488
