,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,ans,bll,lf,mAC,mAI,mPC,mPI,mid,min_rmse
0,1,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.05938984200461669
1,3,0.8333333333333334,1.0,0.4166666666666667,0.5,0.75,0.6666666666666666,0,0.5,0.5,0.7,0.6679999999999999,0.7020000000000001,0.258,0.28,63.0,0.08785645489471258
2,4,0.9166666666666666,0.5,0.3333333333333333,0.3333333333333333,0.9722222222222222,0.5555555555555556,0,0.5,0.5,0.3,0.7340000000000001,0.6759999999999999,0.294,0.28,61.0,0.20873483178425206
3,5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9166666666666666,0,1.5,0.3,0.1,0.5920000000000001,0.588,0.428,0.428,130.0,0.0035632382276051386
4,6,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.057552816322632434
5,7,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,0.75,0.5,0.7,0.642,0.682,0.348,0.358,88.0,0.02753288942337872
6,8,0.75,0.8333333333333334,0.0,0.16666666666666666,0.8055555555555556,0.4166666666666667,0,0.25,0.9,0.7,0.85,0.87,0.124,0.154,48.0,0.0872831980776751
7,9,0.75,1.0,0.2727272727272727,0.5,0.9428571428571428,0.6,1,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,58.0,0.17281536390031993
8,13,0.9166666666666666,1.0,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8888888888888888,0,1.0,0.1,0.7,0.584,0.616,0.43,0.368,103.0,0.11423977707728017
9,14,0.9166666666666666,1.0,0.9166666666666666,0.3333333333333333,0.9722222222222222,0.8333333333333334,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.2925658159571393
10,15,0.75,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.8055555555555556,0.6388888888888888,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.11011052023610944
11,16,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,0.75,0.5,0.7,0.642,0.682,0.348,0.358,88.0,0.02753288942337872
12,17,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,0.9722222222222222,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.057552816322632434
13,18,0.75,1.0,0.16666666666666666,0.16666666666666666,0.8611111111111112,0.5,0,0.25,0.7,0.1,0.8540000000000001,0.892,0.14800000000000002,0.122,40.0,0.12450179382911182
14,20,0.18181818181818185,0.8,0.1,0.16666666666666666,0.8125,0.25,4,0.5,0.7,0.3,0.652,0.726,0.318,0.284,66.0,0.3200095258998811
15,21,0.9090909090909092,0.8333333333333334,0.9166666666666666,1.0,0.8857142857142857,0.9142857142857144,1,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.12500631984023847
16,22,1.0,1.0,0.6666666666666666,1.0,0.9166666666666666,0.8888888888888888,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.15794954890723809
17,24,0.8333333333333334,1.0,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.75,0,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.0800755268480951
18,25,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.10666063003751665
19,26,1.0,1.0,0.9166666666666666,1.0,0.9714285714285714,0.9714285714285714,1,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.057552816322632434
20,27,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.05938984200461669
21,28,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8857142857142857,0.7714285714285715,1,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.010362110467145837
22,30,0.75,0.6666666666666666,0.4166666666666667,0.5,0.8333333333333334,0.5833333333333334,0,1.0,0.3,0.9,0.642,0.628,0.376,0.40399999999999997,109.0,0.05126915902047416
23,31,0.3333333333333333,0.75,0.8,1.0,0.6875,0.625,20,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.37701343035317275
24,32,0.9166666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8888888888888888,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.13026469206964716
25,33,0.9166666666666666,1.0,1.0,1.0,0.5142857142857142,0.9714285714285714,1,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.09627561131113806
26,35,0.9166666666666666,1.0,0.75,0.8333333333333334,0.8611111111111112,0.8611111111111112,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.04125639344392575
27,36,1.0,1.0,0.8333333333333334,1.0,0.8055555555555556,0.9444444444444444,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.07566985309002962
28,38,0.5,0.8333333333333334,0.08333333333333333,0.2,0.5142857142857142,0.37142857142857133,1,0.5,0.7,0.3,0.652,0.726,0.318,0.284,66.0,0.190364545018236
29,39,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.8611111111111112,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.06690064772979903
30,40,1.0,1.0,0.08333333333333333,0.0,0.6,0.5142857142857142,1,0.1,0.9,0.9,0.9940000000000001,0.992,0.016,0.004,24.0,0.043580500226592156
31,41,0.8333333333333334,0.6,0.5,0.6,0.7352941176470589,0.6470588235294118,2,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.12179953475554274
32,42,0.5833333333333334,0.5,0.16666666666666666,0.5,0.5277777777777778,0.4166666666666667,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.16261105948448482
