,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,ans,bll,lf,mAC,mAI,mPC,mPI,min_rmse
0,1,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5348463140958292
1,3,0.8333333333333334,1.0,0.4166666666666667,0.5,0.75,0.6666666666666666,0,74.0,0.5,0.9,0.9,0.726,0.738,0.312,0.312,0.28163193332813496
2,4,0.9166666666666666,0.5,0.3333333333333333,0.3333333333333333,0.9722222222222222,0.5555555555555556,0,61.0,0.5,0.5,0.3,0.7340000000000001,0.6759999999999999,0.294,0.28,0.3398213172305659
3,5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9166666666666666,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.41072321421571284
4,6,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5363092007257111
5,7,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,88.0,0.75,0.5,0.7,0.642,0.682,0.348,0.358,0.3330608477730743
6,8,0.75,0.8333333333333334,0.0,0.16666666666666666,0.8055555555555556,0.4166666666666667,0,48.0,0.25,0.9,0.7,0.85,0.87,0.124,0.154,0.16926015961091456
7,9,0.75,1.0,0.2727272727272727,0.5,0.9428571428571428,0.6,1,58.0,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,0.3432883568414719
8,13,0.9166666666666666,1.0,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8888888888888888,0,132.0,1.5,0.3,0.5,0.604,0.608,0.44799999999999995,0.392,0.4911471835829054
9,14,0.9166666666666666,1.0,0.9166666666666666,0.3333333333333333,0.9722222222222222,0.8333333333333334,0,71.0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,0.6351481661543826
10,15,0.75,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.8055555555555556,0.6388888888888888,0,71.0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,0.25397156430294504
