,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,lf,mDOC,mDOI,mPOC,mPOI,mid,min_rmse
0,06hegj8j20201103,1.0,1.0,0.6,0.8,False,0.9,0.85,0,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,86.0,0.4261528797616734
1,08pg7vs020201109,1.0,0.8,1.0,0.8,False,0.95,0.9,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5561426525857581
2,0l8rg1mg20201128,0.2,0.2,0.0,0.0,False,1.0,0.1,0,1.0,0.5,0.7,0.584,0.5920000000000001,0.392,0.396,113.0,0.3972425486224023
3,0uj1405b20200308,1.0,0.75,1.0,1.0,True,0.9473684210526316,0.9473684210526316,1,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.6436860716997499
4,156cuu2w20201110,1.0,1.0,0.8,0.8,False,0.8947368421052632,0.8947368421052632,1,1.5,0.7,0.3,0.628,0.644,0.434,0.406,141.0,0.3930452710559512
5,18hkpswn20201104,0.6,0.0,0.3333333333333333,0.4,False,0.8,0.4,5,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.6299869045688922
6,1az8fajr20200228,0.8,1.0,0.6,0.8,True,1.0,0.8,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.4326584255926502
7,1nl62prr20201102,0.8,1.0,1.0,0.6,False,1.0,0.85,0,1.5,0.3,0.5,0.604,0.608,0.44799999999999995,0.392,132.0,0.601354305285786
8,1xfwyety20200129,0.6,0.8,1.0,1.0,True,0.9,0.85,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.6671326099777863
9,2g561hrg20200114,0.6,1.0,0.6,0.6,True,1.0,0.7,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.4291697038405623
10,2l0c9f5y20201201,0.6,0.8,1.0,1.0,False,1.0,0.85,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.6671326099777863
11,2njwll2120201105,1.0,0.5,0.75,0.75,False,1.0,0.75,4,1.5,0.7,0.1,0.598,0.5579999999999999,0.452,0.428,140.0,0.5765589652456338
12,2tobc1y520200127,0.3333333333333333,0.8,0.5,0.8,True,0.9411764705882352,0.6470588235294118,3,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.5617457464380284
13,3buyh5cf20201201,1.0,1.0,0.2,0.6,False,1.0,0.7,0,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,58.0,0.46336723125760426
14,3eawrh7a20200127,1.0,1.0,1.0,1.0,True,0.9,1.0,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
15,3oa8oht020201103,1.0,0.25,0.4,0.6,False,0.8333333333333334,0.5555555555555556,2,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.682802318094911
16,3r2ryu3720201113,1.0,1.0,0.6,0.6,False,1.0,0.8,0,0.5,0.9,0.9,0.726,0.738,0.312,0.312,74.0,0.2916781558519078
17,3snwhrt620201123,1.0,1.0,1.0,1.0,False,1.0,1.0,7,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
18,3t6e4bdy20201116,1.0,1.0,0.8,0.4,False,0.95,0.8,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.5011734896115769
19,4keyrr2d20201120,0.6,0.8,0.8,0.8,False,0.9,0.75,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.4352284906839894
20,4mp9c1lx20201102,0.2,0.8,0.2,0.4,False,0.8,0.4,0,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.5574409767619951
21,52eq140x20200217,1.0,1.0,1.0,1.0,True,0.95,1.0,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
22,568mzqtf20201105,0.6,1.0,1.0,0.8,False,0.95,0.85,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.6577304341456579
23,5vahoc0o20200127,1.0,0.4,0.6,0.75,True,1.0,0.6842105263157895,1,1.5,0.7,0.1,0.598,0.5579999999999999,0.452,0.428,140.0,0.6241468213053938
24,5vvjswl220201208,0.2,0.6,0.2,0.2,False,0.9,0.3,0,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.4299576014221641
25,60a2h15h20201105,0.2,0.6,0.6,0.6,False,0.85,0.5,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.4865301947908182
26,70on3oc120200214,0.8,0.4,0.4,0.6,True,1.0,0.55,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.39772880660617865
27,7c7ybket20200127,0.6,0.4,0.8,0.4,True,1.0,0.55,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.4541253745143922
28,7t97zebw20200211,1.0,0.8,0.8,0.6,True,0.95,0.8,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.4396967612139682
29,85kcpq4820200308,0.75,1.0,1.0,0.4,True,1.0,0.7777777777777778,2,1.0,0.1,0.7,0.584,0.616,0.43,0.368,103.0,0.6893659050077364
30,8g0oakbb20200214,0.6,0.8,0.6,0.6,True,0.75,0.65,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.24038542873048746
31,8s6t5xb720200129,0.8,0.3333333333333333,0.8,0.75,True,0.7058823529411765,0.7058823529411765,3,1.5,0.7,0.1,0.598,0.5579999999999999,0.452,0.428,140.0,0.5987324473410358
32,8xrzkbzl20201113,0.2,0.4,0.0,0.0,False,1.0,0.15,0,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.4350229986106485
33,90za526r20200217,1.0,1.0,0.4,0.6,True,1.0,0.75,0,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,58.0,0.34662726253561393
34,97b1s46u20201106,1.0,0.8,0.8,1.0,False,0.95,0.9,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.5773325357378654
35,9psntbym20201207,0.8,0.6,0.0,0.4,False,0.9,0.45,0,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,58.0,0.38635646290564574
36,9q080hvl20201204,1.0,1.0,0.6,0.6,False,0.9,0.8,0,0.5,0.9,0.9,0.726,0.738,0.312,0.312,74.0,0.2916781558519078
37,ac6pz6rt20201102,0.0,0.6,0.0,0.2,False,1.0,0.2222222222222222,2,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.6863477212350608
38,ackgo30v20200227,0.8,1.0,1.0,1.0,True,1.0,0.95,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.6224993693548153
39,aherzvzb20201106,0.4,0.4,0.2,0.4,False,1.0,0.35,0,1.5,0.9,0.5,0.5539999999999999,0.5479999999999999,0.384,0.43200000000000005,147.0,0.23312961713856306
40,ak018tef20201118,0.8,1.0,0.8,1.0,False,0.85,0.9,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.5607840961942608
41,am6ox9ao20201114,1.0,0.4,0.4,0.6,False,0.95,0.6,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.5642759839095762
42,awveeytc20201103,1.0,1.0,1.0,0.8,False,0.65,0.95,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5308270069585771
43,b9zlolfy20200115,0.6,1.0,0.8,0.5,True,0.9444444444444444,0.7222222222222222,2,1.0,0.3,0.1,0.618,0.642,0.434,0.39399999999999996,105.0,0.5282380031054994
44,bdhboees20201112,1.0,1.0,1.0,0.8,False,0.9411764705882352,0.9411764705882352,3,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5308270069585771
45,bjmjt11l20200129,0.0,0.0,0.0,0.0,True,1.0,0.0,10,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.5676752907991158
46,blhofw6920201105,1.0,1.0,0.4,0.6,False,0.95,0.75,0,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,58.0,0.34662726253561393
47,bnlv90xh20201104,1.0,0.6,0.8,0.8,False,1.0,0.8,0,1.5,0.7,0.1,0.598,0.5579999999999999,0.452,0.428,140.0,0.548161556559487
48,bs5meo4o20200214,1.0,1.0,1.0,1.0,True,0.9,1.0,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
49,bsd3r0g520200208,1.0,0.8,0.4,0.6,True,1.0,0.7,0,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,86.0,0.34251620485526424
50,byybve5p20200301,0.75,0.75,0.8,0.4,True,0.8888888888888888,0.6666666666666666,2,1.5,0.3,0.5,0.604,0.608,0.44799999999999995,0.392,132.0,0.40308294939007727
51,cm9hz4em20200226,0.0,0.25,0.5,0.25,True,1.0,0.2857142857142857,6,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.606949415400983
