mid,ans,bll,lf,DOC,DOI,POC,POI,DOC_sd,DOI_sd,POC_sd,POI_sd
0,0.1,0.1,0.1,0.994,0.994,0.006,0.006,0.023748684,0.023748684,0.023748684,0.023748684
1,0.1,0.1,0.3,0.992,0.998,0.006,0.004,0.02712932,0.014,0.023748684,0.019595918
2,0.1,0.1,0.5,0.994,0.994,0.004,0.006,0.023748684,0.023748684,0.028,0.023748684
3,0.1,0.1,0.7,0.986,0.996,0.004,0.004,0.034698703,0.019595918,0.019595918,0.019595918
4,0.1,0.1,0.9,0.994,0.988,0.006,0.006,0.023748684,0.032496154,0.023748684,0.023748684
5,0.1,0.3,0.1,0.992,1,0.006,0.008,0.02712932,0,0.023748684,0.02712932
6,0.1,0.3,0.3,0.996,0.99,0.002,0.002,0.019595918,0.03,0.014,0.014
7,0.1,0.3,0.5,0.99,0.992,0.004,0.012,0.03,0.02712932,0.019595918,0.032496154
8,0.1,0.3,0.7,0.996,1,0.006,0.004,0.019595918,0,0.023748684,0.019595918
9,0.1,0.3,0.9,0.998,0.992,0.01,0.012,0.014,0.02712932,0.036055513,0.032496154
10,0.1,0.5,0.1,0.986,0.992,0.014,0.012,0.040049969,0.02712932,0.034698703,0.032496154
11,0.1,0.5,0.3,0.994,0.99,0.008,0.006,0.023748684,0.03,0.02712932,0.023748684
12,0.1,0.5,0.5,0.996,0.996,0.002,0.008,0.019595918,0.019595918,0.014,0.02712932
13,0.1,0.5,0.7,0.986,0.994,0.004,0.004,0.034698703,0.031048349,0.019595918,0.019595918
14,0.1,0.5,0.9,0.992,0.99,0.008,0.004,0.02712932,0.03,0.02712932,0.019595918
15,0.1,0.7,0.1,0.992,0.994,0.008,0.004,0.02712932,0.023748684,0.02712932,0.019595918
16,0.1,0.7,0.3,0.996,0.988,0.002,0,0.019595918,0.032496154,0.014,0
17,0.1,0.7,0.5,0.998,0.994,0.004,0.004,0.014,0.023748684,0.019595918,0.019595918
18,0.1,0.7,0.7,0.994,1,0.006,0.012,0.023748684,0,0.023748684,0.032496154
19,0.1,0.7,0.9,0.998,0.996,0.006,0.01,0.014,0.019595918,0.023748684,0.03
20,0.1,0.9,0.1,0.996,0.996,0,0,0.019595918,0.019595918,0,0
21,0.1,0.9,0.3,0.996,0.996,0.002,0.006,0.019595918,0.028,0.014,0.023748684
22,0.1,0.9,0.5,0.992,0.998,0.006,0.006,0.02712932,0.014,0.023748684,0.023748684
23,0.1,0.9,0.7,0.988,0.992,0.01,0.004,0.032496154,0.02712932,0.03,0.019595918
24,0.1,0.9,0.9,0.994,0.992,0.016,0.004,0.023748684,0.02712932,0.036660606,0.019595918
25,0.25,0.1,0.1,0.858,0.862,0.146,0.142,0.111516815,0.101764434,0.113507709,0.09610411
26,0.25,0.1,0.3,0.864,0.866,0.122,0.114,0.097488461,0.106976633,0.104479663,0.084876381
27,0.25,0.1,0.5,0.882,0.876,0.128,0.122,0.103324731,0.097077289,0.105905618,0.096519428
28,0.25,0.1,0.7,0.864,0.85,0.114,0.13,0.112712022,0.128452326,0.087200917,0.096436508
29,0.25,0.1,0.9,0.854,0.886,0.134,0.122,0.116978631,0.102,0.106976633,0.108240473
30,0.25,0.3,0.1,0.85,0.848,0.154,0.124,0.11,0.117029911,0.109927249,0.108738218
31,0.25,0.3,0.3,0.88,0.87,0.124,0.112,0.103923048,0.117046999,0.099116094,0.101271911
32,0.25,0.3,0.5,0.866,0.86,0.148,0.152,0.125872952,0.087177979,0.102449988,0.115308282
33,0.25,0.3,0.7,0.888,0.844,0.132,0.124,0.095163018,0.106131993,0.117371206,0.112356575
34,0.25,0.3,0.9,0.878,0.86,0.15,0.14,0.090088845,0.09591663,0.120415946,0.1
35,0.25,0.5,0.1,0.862,0.878,0.112,0.126,0.093573501,0.096519428,0.107032705,0.103556748
36,0.25,0.5,0.3,0.884,0.84,0.126,0.136,0.090244113,0.146969385,0.101607086,0.095414884
37,0.25,0.5,0.5,0.856,0.87,0.138,0.138,0.108,0.09,0.09568699,0.109343495
38,0.25,0.5,0.7,0.858,0.88,0.124,0.146,0.109708705,0.093808315,0.097077289,0.116978631
39,0.25,0.5,0.9,0.858,0.858,0.114,0.14,0.100179838,0.109708705,0.098,0.1
