,subjID,AC,AI,PC,PI,mid,ans,bll,lf,mAC,mAI,mPC,mPI,rmse
0,1,1.0,1.0,0.909,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
1,3,0.833,1.0,0.41700000000000004,0.5,74.0,0.5,0.9,0.9,0.726,0.738,0.3120000000000001,0.3120000000000001,0.13072745184798282
2,4,0.917,0.5,0.33299999999999996,0.33299999999999996,61.0,0.5,0.5,0.3,0.7339999999999999,0.6759999999999999,0.29400000000000004,0.2799999999999999,0.1443479592281558
3,5,1.0,1.0,0.833,0.833,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
4,6,1.0,1.0,0.917,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
5,7,0.917,1.0,0.667,0.667,88.0,0.75,0.5,0.7,0.6420000000000001,0.682,0.3480000000000001,0.358,0.06687301398920195
6,8,0.75,0.833,0.0,0.16699999999999998,48.0,0.25,0.9,0.7,0.8499999999999999,0.8699999999999997,0.12400000000000005,0.15399999999999994,0.2989180489699476
7,9,0.75,1.0,0.273,0.5,58.0,0.5,0.3,0.7,0.7220000000000002,0.7300000000000003,0.242,0.2960000000000001,0.14753982513206393
8,13,0.917,1.0,0.917,0.667,132.0,1.5,0.3,0.5,0.604,0.6080000000000001,0.4480000000000001,0.3920000000000001,0.07287660804400818
9,14,0.917,1.0,0.917,0.33299999999999996,71.0,0.5,0.9,0.3,0.6940000000000004,0.7200000000000002,0.338,0.25199999999999995,0.14690246197165427
10,15,0.75,0.833,0.583,0.33299999999999996,71.0,0.5,0.9,0.3,0.6940000000000004,0.7200000000000002,0.338,0.25199999999999995,0.14690246197165427
11,16,0.917,1.0,0.667,0.667,88.0,0.75,0.5,0.7,0.6420000000000001,0.682,0.3480000000000001,0.358,0.06687301398920195
12,17,1.0,1.0,0.917,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
13,18,0.75,1.0,0.16699999999999998,0.16699999999999998,40.0,0.25,0.7,0.1,0.8539999999999996,0.8919999999999995,0.14799999999999994,0.122,0.3117846479008655
14,20,0.182,0.8,0.1,0.16699999999999998,66.0,0.5,0.7,0.3,0.6520000000000004,0.7260000000000001,0.318,0.284,0.11958400115957545
15,21,0.909,0.833,0.917,1.0,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.07335757175188756
16,22,1.0,1.0,0.667,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
17,24,0.833,1.0,0.583,0.667,88.0,0.75,0.5,0.7,0.6420000000000001,0.682,0.3480000000000001,0.358,0.06687301398920195
18,25,0.833,1.0,0.667,0.833,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
19,26,1.0,1.0,0.917,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
20,27,1.0,1.0,0.909,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
21,28,0.833,0.833,0.727,0.667,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.08154548832809003
22,30,0.75,0.667,0.41700000000000004,0.5,86.0,0.75,0.5,0.3,0.6940000000000002,0.6619999999999999,0.3420000000000001,0.386,0.07929060473977986
23,31,0.33299999999999996,0.75,0.8,1.0,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.07599342076785331
24,32,0.917,0.833,0.833,1.0,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.07335757175188756
25,33,0.917,1.0,1.0,1.0,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.07599342076785331
26,35,0.917,1.0,0.75,0.833,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
27,36,1.0,1.0,0.833,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
28,38,0.5,0.833,0.083,0.2,63.0,0.5,0.5,0.7,0.6679999999999999,0.7020000000000001,0.25799999999999995,0.28,0.12412493705939995
29,39,1.0,1.0,0.667,0.833,86.0,0.75,0.5,0.3,0.6940000000000002,0.6619999999999999,0.3420000000000001,0.386,0.07929060473977986
30,40,1.0,1.0,0.083,0.0,24.0,0.1,0.9,0.9,0.994,0.992,0.016,0.004,0.4520958600415035
31,41,0.833,0.6,0.5,0.6,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.08370782520170979
32,42,0.583,0.5,0.16699999999999998,0.5,120.0,1.0,0.9,0.1,0.598,0.59,0.3620000000000001,0.4239999999999999,0.03358571124749333
33,43,0.583,0.5,0.583,0.6,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.07335757175188756
34,44,0.917,1.0,0.75,0.833,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
35,46,1.0,1.0,0.5,0.833,86.0,0.75,0.5,0.3,0.6940000000000002,0.6619999999999999,0.3420000000000001,0.386,0.07929060473977986
36,47,0.833,0.833,0.583,0.833,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
