,ans,bll,lf,rmse,DOC,DOI,POC,POI
0,0.1,0.1,0.1,0.4543086322461123,0.9939999999999999,0.9939999999999999,0.006000000000000001,0.006000000000000001
1,0.1,0.1,0.3,0.45534053190991025,0.9919999999999999,0.998,0.006000000000000001,0.004
2,0.1,0.1,0.5,0.4547966578593119,0.9939999999999999,0.9939999999999999,0.004,0.006000000000000001
3,0.1,0.1,0.7,0.45340342595382616,0.9859999999999998,0.996,0.004,0.004
4,0.1,0.1,0.9,0.45281931643132606,0.9939999999999999,0.9879999999999999,0.006000000000000001,0.006000000000000001
5,0.1,0.3,0.1,0.4545268602257371,0.9919999999999999,1.0,0.006000000000000001,0.008
6,0.1,0.3,0.3,0.4562645431472112,0.996,0.9899999999999999,0.002,0.002
7,0.1,0.3,0.5,0.4510328886751682,0.9899999999999999,0.9919999999999999,0.004,0.012
8,0.1,0.3,0.7,0.4571301783956076,0.996,1.0,0.006000000000000001,0.004
9,0.1,0.3,0.9,0.45215815817034644,0.998,0.9919999999999999,0.01,0.012
10,0.1,0.5,0.1,0.4472959497543731,0.986,0.9919999999999999,0.013999999999999999,0.012
11,0.1,0.5,0.3,0.45282814989058856,0.9939999999999999,0.9899999999999999,0.008,0.006000000000000001
12,0.1,0.5,0.5,0.4557821116864212,0.996,0.996,0.002,0.008
13,0.1,0.5,0.7,0.4528888752589683,0.986,0.9939999999999999,0.004,0.004
14,0.1,0.5,0.9,0.45284287193977857,0.9919999999999999,0.9899999999999999,0.008,0.004
15,0.1,0.7,0.1,0.45384431985722445,0.9919999999999999,0.9939999999999999,0.008,0.004
16,0.1,0.7,0.3,0.45643692517878814,0.996,0.9879999999999999,0.002,0.0
17,0.1,0.7,0.5,0.4567585065801549,0.998,0.9939999999999999,0.004,0.004
18,0.1,0.7,0.7,0.4538505627773677,0.9939999999999999,1.0,0.006000000000000001,0.012
19,0.1,0.7,0.9,0.4547878626348773,0.998,0.996,0.006000000000000001,0.01
20,0.1,0.9,0.1,0.45890485578893875,0.996,0.996,0.0,0.0
21,0.1,0.9,0.3,0.45643729032584535,0.996,0.996,0.002,0.006000000000000001
22,0.1,0.9,0.5,0.45467644173265315,0.9919999999999999,0.998,0.006000000000000001,0.006000000000000001
23,0.1,0.9,0.7,0.45157354513596865,0.9879999999999999,0.9919999999999999,0.01,0.004
24,0.1,0.9,0.9,0.4520958600415035,0.9939999999999999,0.992,0.016,0.004
25,0.25,0.1,0.1,0.2985146562566066,0.8579999999999997,0.8619999999999999,0.14599999999999994,0.142
26,0.25,0.1,0.3,0.3165922719629566,0.8639999999999998,0.8659999999999997,0.122,0.11399999999999996
27,0.25,0.1,0.5,0.320880559294784,0.8819999999999995,0.8759999999999997,0.128,0.12199999999999997
28,0.25,0.1,0.7,0.30926364157462805,0.8639999999999997,0.8499999999999994,0.11400000000000002,0.13
29,0.25,0.1,0.9,0.31298402515144447,0.8539999999999995,0.8859999999999997,0.134,0.12200000000000001
30,0.25,0.3,0.1,0.29767375878076097,0.8499999999999995,0.8479999999999996,0.15399999999999994,0.12400000000000003
31,0.25,0.3,0.3,0.3232584105634376,0.8799999999999997,0.8699999999999996,0.12399999999999997,0.11199999999999997
32,0.25,0.3,0.5,0.29683665541843046,0.8659999999999997,0.8599999999999995,0.14799999999999996,0.1519999999999999
33,0.25,0.3,0.7,0.3149333262771662,0.8879999999999995,0.8439999999999995,0.132,0.12399999999999999
34,0.25,0.3,0.9,0.3048961571857977,0.8779999999999996,0.8599999999999995,0.14999999999999994,0.13999999999999996
35,0.25,0.5,0.1,0.3169584620524694,0.8619999999999997,0.8779999999999996,0.11199999999999997,0.12599999999999997
36,0.25,0.5,0.3,0.3098451226015992,0.8839999999999997,0.8399999999999997,0.12599999999999997,0.13599999999999998
37,0.25,0.5,0.5,0.30292793422418696,0.856,0.8699999999999996,0.13799999999999998,0.13799999999999998
38,0.25,0.5,0.7,0.3066317009051739,0.858,0.8799999999999997,0.12399999999999997,0.146
39,0.25,0.5,0.9,0.30568611352169733,0.8579999999999999,0.8579999999999997,0.11399999999999999,0.14
40,0.25,0.7,0.1,0.3117846479008655,0.8539999999999996,0.8919999999999995,0.14799999999999996,0.12200000000000001
41,0.25,0.7,0.3,0.3115423994686224,0.8799999999999994,0.8879999999999998,0.13599999999999998,0.14999999999999997
42,0.25,0.7,0.5,0.30148300117917093,0.8739999999999997,0.848,0.13799999999999998,0.146
43,0.25,0.7,0.7,0.31536064011435117,0.8759999999999997,0.8719999999999994,0.15199999999999997,0.11599999999999998
44,0.25,0.7,0.9,0.31236303665233295,0.866,0.8659999999999997,0.12199999999999997,0.128
45,0.25,0.9,0.1,0.32095949900260007,0.8699999999999996,0.8799999999999997,0.12,0.118
46,0.25,0.9,0.3,0.3082536834059462,0.8719999999999994,0.8679999999999995,0.12999999999999998,0.142
47,0.25,0.9,0.5,0.30326061399397053,0.8699999999999997,0.8499999999999995,0.148,0.13199999999999995
48,0.25,0.9,0.7,0.2989180489699476,0.8499999999999999,0.8699999999999997,0.12400000000000003,0.15399999999999997
49,0.25,0.9,0.9,0.31831483366838775,0.8699999999999997,0.8879999999999997,0.146,0.11600000000000003
50,0.5,0.1,0.1,0.15083766107971844,0.7260000000000001,0.7160000000000001,0.288,0.26400000000000007
51,0.5,0.1,0.3,0.12318684994754919,0.7020000000000002,0.7140000000000002,0.2740000000000001,0.314
52,0.5,0.1,0.5,0.13300626551657882,0.7200000000000002,0.7060000000000001,0.26999999999999996,0.30599999999999994
53,0.5,0.1,0.7,0.1473012785642632,0.7199999999999999,0.682,0.2820000000000001,0.26
54,0.5,0.1,0.9,0.1545110567780399,0.7239999999999999,0.726,0.30200000000000005,0.25600000000000006
55,0.5,0.3,0.1,0.16214910833345134,0.7479999999999998,0.7440000000000001,0.2720000000000001,0.272
56,0.5,0.3,0.3,0.12636455199145052,0.6940000000000001,0.6919999999999998,0.27199999999999996,0.2880000000000001
57,0.5,0.3,0.5,0.1530969191939102,0.7,0.7240000000000001,0.2960000000000001,0.24199999999999997
58,0.5,0.3,0.7,0.14753982513206393,0.7220000000000002,0.7300000000000003,0.242,0.2960000000000001
59,0.5,0.3,0.9,0.13589211407093008,0.722,0.7020000000000002,0.262,0.304
60,0.5,0.5,0.1,0.14179445217167938,0.7160000000000004,0.7140000000000002,0.262,0.284
61,0.5,0.5,0.3,0.1443479592281558,0.7339999999999999,0.676,0.29400000000000004,0.2799999999999999
62,0.5,0.5,0.5,0.13916536925542936,0.716,0.74,0.288,0.29200000000000004
63,0.5,0.5,0.7,0.12412493705939995,0.6679999999999999,0.7020000000000001,0.25799999999999995,0.28
64,0.5,0.5,0.9,0.14320730893824285,0.7260000000000002,0.7139999999999997,0.302,0.27799999999999997
65,0.5,0.7,0.1,0.14867974531410344,0.7219999999999999,0.6820000000000002,0.27599999999999997,0.25999999999999995
66,0.5,0.7,0.3,0.11958400115957543,0.6520000000000004,0.7260000000000001,0.318,0.284
67,0.5,0.7,0.5,0.1306254186596162,0.704,0.7260000000000002,0.2699999999999999,0.30400000000000005
68,0.5,0.7,0.7,0.1295800910634037,0.73,0.728,0.29799999999999993,0.32000000000000006
69,0.5,0.7,0.9,0.157797338380595,0.7380000000000001,0.7539999999999999,0.28400000000000003,0.2740000000000001
70,0.5,0.9,0.1,0.12917172033124488,0.716,0.6999999999999998,0.32800000000000007,0.294
71,0.5,0.9,0.3,0.14690246197165427,0.6940000000000004,0.7200000000000002,0.33799999999999997,0.25199999999999995
72,0.5,0.9,0.5,0.13963762625691784,0.7100000000000002,0.6719999999999999,0.27199999999999996,0.268
73,0.5,0.9,0.7,0.15190018652610887,0.7479999999999998,0.7299999999999999,0.32599999999999996,0.2800000000000001
74,0.5,0.9,0.9,0.13072745184798282,0.726,0.738,0.3120000000000001,0.31200000000000006
75,0.75,0.1,0.1,0.0859399014815974,0.652,0.64,0.3280000000000001,0.32
76,0.75,0.1,0.3,0.05692099788303082,0.634,0.6540000000000002,0.34600000000000003,0.36400000000000005
77,0.75,0.1,0.5,0.07479750441469733,0.6539999999999999,0.6639999999999999,0.36000000000000015,0.3479999999999999
78,0.75,0.1,0.7,0.08198373822492686,0.644,0.6420000000000001,0.3480000000000001,0.3240000000000001
79,0.75,0.1,0.9,0.0653732871031178,0.628,0.642,0.32599999999999985,0.3399999999999999
80,0.75,0.3,0.1,0.07805340052382942,0.632,0.6759999999999999,0.3720000000000001,0.3360000000000001
81,0.75,0.3,0.3,0.06767569726275453,0.6300000000000002,0.642,0.3739999999999999,0.3479999999999999
82,0.75,0.3,0.5,0.10426248925988035,0.68,0.6460000000000001,0.37600000000000017,0.32
83,0.75,0.3,0.7,0.0847427479689757,0.6920000000000002,0.6640000000000001,0.3579999999999999,0.364
84,0.75,0.3,0.9,0.08654286028706625,0.6700000000000003,0.642,0.3559999999999999,0.34
85,0.75,0.5,0.1,0.07637844373032661,0.6440000000000003,0.6400000000000001,0.32799999999999996,0.3320000000000001
86,0.75,0.5,0.3,0.07929060473977986,0.6940000000000002,0.6619999999999999,0.3420000000000001,0.386
87,0.75,0.5,0.5,0.07913701198975527,0.6520000000000001,0.654,0.316,0.33599999999999997
88,0.75,0.5,0.7,0.06687301398920195,0.6420000000000001,0.682,0.3480000000000001,0.358
89,0.75,0.5,0.9,0.05985816569190873,0.6339999999999999,0.65,0.35,0.35800000000000004
90,0.75,0.7,0.1,0.04933220719435395,0.6199999999999999,0.6440000000000002,0.3720000000000001,0.37199999999999994
91,0.75,0.7,0.3,0.08742234649485604,0.638,0.672,0.352,0.316
92,0.75,0.7,0.5,0.06471733410249014,0.6540000000000002,0.64,0.3400000000000001,0.36999999999999994
93,0.75,0.7,0.7,0.06749814812274482,0.6279999999999999,0.6460000000000002,0.376,0.34800000000000003
94,0.75,0.7,0.9,0.08080429031513943,0.652,0.63,0.32000000000000006,0.3320000000000001
95,0.75,0.9,0.1,0.07672678802087313,0.6499999999999999,0.6659999999999999,0.348,0.3400000000000001
96,0.75,0.9,0.3,0.07482646590612176,0.6480000000000001,0.648,0.344,0.34000000000000014
