DOC, DOI, POC, POI
ans: 0.5; bll: 0.2; lf: 0.2; egs: 0.0; ppm: None
1.0, 1.0, 0.84, 1.0
0.36, 0.28, 0.4, 0.24
0.12, 0.12, 0.16, 0.08
0.16, 0.2, 0.28, 0.04
0.68, 0.52, 0.76, 0.68
0.0, 0.28, 0.32, 0.12
0.12, 0.0, 0.16, 0.0
0.16, 0.08, 0.16, 0.04
0.24, 0.16, 0.28, 0.0
0.6, 0.52, 0.64, 0.64
1.0, 1.0, 0.96, 1.0
0.88, 0.84, 0.88, 0.76
0.08, 0.0, 0.12, 0.0
1.0, 1.0, 0.92, 1.0
0.84, 0.72, 0.84, 0.76
0.08, 0.0, 0.32, 0.0
0.2, 0.0, 0.16, 0.0
1.0, 0.96, 0.8, 1.0
1.0, 1.0, 1.0, 1.0
1.0, 1.0, 1.0, 1.0
0.12, 0.04, 0.16, 0.04
0.84, 0.52, 0.76, 0.6
1.0, 1.0, 0.92, 1.0
0.28, 0.24, 0.4, 0.08
0.84, 0.68, 0.76, 0.76
1.0, 1.0, 1.0, 1.0
0.72, 0.76, 0.68, 0.72
0.4, 0.4, 0.44, 0.44
0.92, 0.8, 0.72, 0.48
0.48, 0.48, 0.72, 0.32
1.0, 0.92, 0.92, 0.96
0.12, 0.24, 0.36, 0.12
0.96, 0.6, 0.8, 0.76
0.24, 0.0, 0.4, 0.0
0.44, 0.2, 0.32, 0.16
0.64, 0.52, 0.72, 0.52
0.92, 0.8, 0.76, 0.84
0.36, 0.2, 0.48, 0.08
0.28, 0.0, 0.2, 0.0
0.08, 0.04, 0.32, 0.0
0.4, 0.4, 0.56, 0.56
0.84, 0.64, 0.84, 0.92
1.0, 0.96, 0.88, 1.0
1.0, 1.0, 1.0, 1.0
0.88, 0.88, 0.88, 0.88
0.8, 0.64, 0.84, 0.6
0.68, 0.48, 0.72, 0.32
0.08, 0.04, 0.12, 0.04
1.0, 0.96, 1.0, 1.0
0.8, 0.56, 0.8, 0.52
0.44, 0.28, 0.56, 0.48
0.08, 0.0, 0.16, 0.0
0.96, 0.88, 0.96, 0.96
0.12, 0.0, 0.04, 0.0
0.24, 0.0, 0.24, 0.0
0.12, 0.0, 0.16, 0.08
0.12, 0.04, 0.12, 0.08
0.76, 0.52, 0.56, 0.44
0.6, 0.4, 0.76, 0.68
0.6, 0.52, 0.68, 0.8
0.44, 0.4, 0.52, 0.32
0.8, 0.6, 0.88, 0.6
0.88, 0.72, 0.8, 0.84
0.12, 0.0, 0.2, 0.04
0.12, 0.0, 0.12, 0.0
1.0, 0.92, 0.8, 1.0
0.68, 0.6, 0.76, 0.72
0.12, 0.0, 0.08, 0.0
1.0, 1.0, 0.92, 1.0
0.16, 0.28, 0.28, 0.04
0.08, 0.08, 0.12, 0.0
0.08, 0.0, 0.16, 0.0
0.28, 0.36, 0.44, 0.24
1.0, 0.96, 0.96, 1.0
1.0, 1.0, 0.96, 1.0
0.36, 0.16, 0.28, 0.16
0.0, 0.0, 0.16, 0.0
1.0, 0.96, 0.92, 0.96
0.64, 0.6, 0.68, 0.56
0.92, 0.72, 0.76, 0.84
1.0, 1.0, 0.96, 1.0
0.2, 0.0, 0.12, 0.0
0.08, 0.0, 0.12, 0.0
0.6, 0.32, 0.64, 0.44
0.16, 0.0, 0.32, 0.0
0.96, 0.92, 1.0, 0.96
0.48, 0.4, 0.28, 0.36
0.28, 0.32, 0.52, 0.24
1.0, 0.96, 1.0, 0.96
1.0, 0.96, 1.0, 1.0
1.0, 1.0, 0.92, 0.96
0.2, 0.0, 0.16, 0.0
0.72, 0.48, 0.84, 0.64
0.12, 0.04, 0.12, 0.0
1.0, 0.96, 1.0, 0.96
0.48, 0.4, 0.36, 0.36
0.92, 0.84, 0.8, 0.76
0.2, 0.16, 0.28, 0.08
0.76, 0.76, 0.84, 0.72
0.04, 0.04, 0.32, 0.04
