,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,ans,bll,ga,lf,mAC,mAI,mPC,mPI,mas,mid,min_rmse
0,1,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.094598555309617
1,3,0.8333333333333334,1.0,0.4166666666666667,0.5,0.75,0.6666666666666666,0,0.75,0.1,0.5,0.5,0.648,0.742,0.306,0.278,2.8,720.0,0.08312855506182376
2,4,0.9166666666666666,0.5,0.3333333333333333,0.3333333333333333,0.9722222222222222,0.5555555555555556,0,0.75,0.3,0.5,1.0,0.6679999999999999,0.67,0.32799999999999996,0.276,2.8,804.0,0.24363749711405264
3,5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9166666666666666,0,1.5,0.3,0.5,0.5,0.5820000000000001,0.594,0.426,0.39399999999999996,2.8,1248.0,0.020782123728499614
4,6,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.09319831901202225
5,7,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,1.0,0.9,0.5,1.0,0.612,0.7040000000000001,0.37799999999999995,0.35,3.6,1190.0,0.016980184529817886
6,8,0.75,0.8333333333333334,0.0,0.16666666666666666,0.8055555555555556,0.4166666666666667,0,0.25,0.7,0.5,0.9,0.858,0.9620000000000001,0.08800000000000001,0.05,2.8,408.0,0.14135047458946381
7,9,0.75,1.0,0.2727272727272727,0.5,0.9428571428571428,0.6,1,0.5,0.1,0.5,1.0,0.722,0.8420000000000001,0.23,0.19,3.2,517.0,0.1782365936987501
8,13,0.9166666666666666,1.0,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8888888888888888,0,1.5,0.1,1.0,1.0,0.586,0.654,0.462,0.324,3.2,1240.0,0.0739688673249316
9,14,0.9166666666666666,1.0,0.9166666666666666,0.3333333333333333,0.9722222222222222,0.8333333333333334,0,1.5,0.3,2.0,1.0,0.596,0.774,0.44799999999999995,0.19,3.6,1295.0,0.19651757342962148
10,15,0.75,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.8055555555555556,0.6388888888888888,0,1.0,0.5,1.5,0.9,0.62,0.742,0.434,0.23199999999999998,2.8,1086.0,0.036595901409857357
