,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,ans,bll,ga,lf,mAC,mAI,mPC,mPI,mas,min_rmse
0,1,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5781690337993676
1,3,0.8333333333333334,1.0,0.4166666666666667,0.5,0.75,0.6666666666666666,0,672.0,0.5,0.9,0.5,0.5,0.732,0.8420000000000001,0.28,0.23199999999999998,2.8,0.26992316416739837
2,4,0.9166666666666666,0.5,0.3333333333333333,0.3333333333333333,0.9722222222222222,0.5555555555555556,0,804.0,0.75,0.3,0.5,1.0,0.6679999999999999,0.67,0.32799999999999996,0.276,2.8,0.39697590282725503
3,5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9166666666666666,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.43008474679445713
4,6,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5793062384067601
5,7,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,1190.0,1.0,0.9,0.5,1.0,0.612,0.7040000000000001,0.37799999999999995,0.35,3.6,0.3186604788813051
6,8,0.75,0.8333333333333334,0.0,0.16666666666666666,0.8055555555555556,0.4166666666666667,0,408.0,0.25,0.7,0.5,0.9,0.858,0.9620000000000001,0.08800000000000001,0.05,2.8,0.252676821675657
7,9,0.75,1.0,0.2727272727272727,0.5,0.9428571428571428,0.6,1,672.0,0.5,0.9,0.5,0.5,0.732,0.8420000000000001,0.28,0.23199999999999998,2.8,0.3358451679971504
8,13,0.9166666666666666,1.0,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8888888888888888,0,1386.0,1.5,0.7,1.5,1.0,0.602,0.696,0.474,0.32,2.8,0.43061828229251314
9,14,0.9166666666666666,1.0,0.9166666666666666,0.3333333333333333,0.9722222222222222,0.8333333333333334,0,1439.0,1.5,0.9,2.0,1.0,0.578,0.8220000000000001,0.478,0.218,3.6,0.5054179626901296
10,15,0.75,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.8055555555555556,0.6388888888888888,0,1086.0,1.0,0.5,1.5,0.9,0.62,0.742,0.434,0.23199999999999998,2.8,0.15681514557095944
11,16,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,1190.0,1.0,0.9,0.5,1.0,0.612,0.7040000000000001,0.37799999999999995,0.35,3.6,0.3186604788813051
12,17,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,0.9722222222222222,0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5793062384067601
13,18,0.75,1.0,0.16666666666666666,0.16666666666666666,0.8611111111111112,0.5,0,557.0,0.5,0.3,1.0,0.9,0.71,0.93,0.244,0.086,3.6,0.16671534021489703
14,20,0.18181818181818185,0.8,0.1,0.16666666666666666,0.8125,0.25,4,1138.0,1.0,0.7,2.0,0.9,0.528,0.838,0.392,0.168,3.2,0.47324442518189525
15,21,0.9090909090909092,0.8333333333333334,0.9166666666666666,1.0,0.8857142857142857,0.9142857142857144,1,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.5993517422997932
16,22,1.0,1.0,0.6666666666666666,1.0,0.9166666666666666,0.8888888888888888,0,1296.0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,0.6179458984197244
17,24,0.8333333333333334,1.0,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.75,0,1176.0,1.0,0.9,0.5,0.9,0.578,0.708,0.38,0.384,2.8,0.31409849835494835
18,25,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,1296.0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,0.4401745972194486
