,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,ga,lf,mDOC,mDOI,mPOC,mPOI,mas,mid,min_rmse
0,06hegj8j20201103,1.0,1.0,0.6,0.8,False,0.9,0.85,0,1.5,0.5,0.5,0.9,0.6,0.65,0.38,0.384,3.6,1322.0,0.12133287545701152
1,08pg7vs020201109,1.0,0.8,1.0,0.8,False,0.95,0.9,0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.16653828388691894
2,0l8rg1mg20201128,0.2,0.2,0.0,0.0,False,1.0,0.1,0,1.5,0.5,0.5,0.7,0.614,0.598,0.40399999999999997,0.374,3.2,1309.0,0.021946905628508692
3,0uj1405b20200308,1.0,0.75,1.0,1.0,True,0.9473684210526316,0.9473684210526316,1,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.21243038075253423
4,156cuu2w20201110,1.0,1.0,0.8,0.8,False,0.8947368421052632,0.8947368421052632,1,1.5,0.5,0.5,0.7,0.614,0.598,0.40399999999999997,0.374,3.2,1309.0,0.021946905628508692
5,18hkpswn20201104,0.6,0.0,0.3333333333333333,0.4,False,0.8,0.4,5,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.3639213193351918
6,1az8fajr20200228,0.8,1.0,0.6,0.8,True,1.0,0.8,0,1.0,0.9,0.5,0.9,0.578,0.708,0.38,0.384,2.8,1176.0,0.1252158136977914
7,1nl62prr20201102,0.8,1.0,1.0,0.6,False,1.0,0.85,0,1.5,0.5,2.0,0.9,0.564,0.778,0.48,0.21600000000000003,3.6,1331.0,0.15101986624282251
8,1xfwyety20200129,0.6,0.8,1.0,1.0,True,0.9,0.85,0,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.28076799437732686
9,2g561hrg20200114,0.6,1.0,0.6,0.6,True,1.0,0.7,0,1.5,0.3,1.0,1.0,0.524,0.6940000000000001,0.386,0.322,3.6,1289.0,0.1414461028095154
10,2l0c9f5y20201201,0.6,0.8,1.0,1.0,False,1.0,0.85,0,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.28076799437732686
11,2njwll2120201105,1.0,0.5,0.75,0.75,False,1.0,0.75,4,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.29212155004381307
12,2tobc1y520200127,0.3333333333333333,0.8,0.5,0.8,True,0.9411764705882352,0.6470588235294118,3,1.5,0.9,1.0,0.5,0.528,0.68,0.41,0.37200000000000005,3.2,1396.0,0.31679319226692143
13,3buyh5cf20201201,1.0,1.0,0.2,0.6,False,1.0,0.7,0,0.5,0.1,0.5,1.0,0.722,0.8420000000000001,0.23,0.19,3.2,517.0,0.26380801099789725
14,3eawrh7a20200127,1.0,1.0,1.0,1.0,True,0.9,1.0,0,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.094678403028357
