,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,ga,lf,mDOC,mDOI,mPOC,mPOI,mas,mid,min_rmse
0,06hegj8j20201103,1.0,1.0,0.6,0.8,False,0.9,0.85,0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,1296.0,0.4725504908590116
1,08pg7vs020201109,1.0,0.8,1.0,0.8,False,0.95,0.9,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.568688423223808
2,0l8rg1mg20201128,0.2,0.2,0.0,0.0,False,1.0,0.1,0,1.5,0.5,0.5,0.7,0.614,0.598,0.40399999999999997,0.374,3.2,1309.0,0.4197194537008964
3,0uj1405b20200308,1.0,0.75,1.0,1.0,True,0.9473684210526316,0.9473684210526316,1,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.6816917884106684
4,156cuu2w20201110,1.0,1.0,0.8,0.8,False,0.8947368421052632,0.8947368421052632,1,1.5,0.1,1.0,0.5,0.636,0.6659999999999999,0.43,0.39,2.8,1203.0,0.4078220610036718
5,18hkpswn20201104,0.6,0.0,0.3333333333333333,0.4,False,0.8,0.4,5,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.6493591895938136
6,1az8fajr20200228,0.8,1.0,0.6,0.8,True,1.0,0.8,0,1.0,0.9,0.5,0.9,0.578,0.708,0.38,0.384,2.8,1176.0,0.4235461675004174
7,1nl62prr20201102,0.8,1.0,1.0,0.6,False,1.0,0.85,0,1.5,0.5,2.0,0.9,0.564,0.778,0.48,0.21600000000000003,3.6,1331.0,0.5125568629665327
8,1xfwyety20200129,0.6,0.8,1.0,1.0,True,0.9,0.85,0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,1212.0,0.7027086488190102
9,2g561hrg20200114,0.6,1.0,0.6,0.6,True,1.0,0.7,0,1.5,0.9,1.0,1.0,0.5539999999999999,0.7120000000000001,0.418,0.35200000000000004,3.2,1432.0,0.35939753321447376
10,2l0c9f5y20201201,0.6,0.8,1.0,1.0,False,1.0,0.85,0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,1212.0,0.7027086488190102
11,2njwll2120201105,1.0,0.5,0.75,0.75,False,1.0,0.75,4,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.6107859503146937
12,2tobc1y520200127,0.3333333333333333,0.8,0.5,0.8,True,0.9411764705882352,0.6470588235294118,3,1.5,0.9,1.0,0.5,0.528,0.68,0.41,0.37200000000000005,3.2,1396.0,0.5635618648689715
13,3buyh5cf20201201,1.0,1.0,0.2,0.6,False,1.0,0.7,0,0.5,0.9,0.5,0.5,0.732,0.8420000000000001,0.28,0.23199999999999998,2.8,672.0,0.5135381077640446
14,3eawrh7a20200127,1.0,1.0,1.0,1.0,True,0.9,1.0,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.594763620332876
15,3oa8oht020201103,1.0,0.25,0.4,0.6,False,0.8333333333333334,0.5555555555555556,2,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.7235353285288046
16,3r2ryu3720201113,1.0,1.0,0.6,0.6,False,1.0,0.8,0,0.75,0.9,0.5,0.9,0.6920000000000001,0.754,0.38,0.32,2.8,936.0,0.3177982339768398
17,3snwhrt620201123,1.0,1.0,1.0,1.0,False,1.0,1.0,7,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.594763620332876
18,3t6e4bdy20201116,1.0,1.0,0.8,0.4,False,0.95,0.8,0,1.0,0.7,1.0,0.5,0.6559999999999999,0.79,0.41200000000000003,0.226,3.6,1109.0,0.43873464269760243
19,4keyrr2d20201120,0.6,0.8,0.8,0.8,False,0.9,0.75,0,1.5,0.3,0.5,0.7,0.56,0.6459999999999999,0.43,0.41200000000000003,3.2,1261.0,0.4555451851085804
20,4mp9c1lx20201102,0.2,0.8,0.2,0.4,False,0.8,0.4,0,1.5,0.3,1.0,1.0,0.524,0.6940000000000001,0.386,0.322,3.6,1289.0,0.491090064250738
21,52eq140x20200217,1.0,1.0,1.0,1.0,True,0.95,1.0,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.594763620332876
22,568mzqtf20201105,0.6,1.0,1.0,0.8,False,0.95,0.85,0,1.5,0.7,2.0,0.5,0.5579999999999999,0.684,0.462,0.336,2.8,1353.0,0.6371600515431021
23,5vahoc0o20200127,1.0,0.4,0.6,0.75,True,1.0,0.6842105263157895,1,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.6581423610083246
