mid,ans,bll,lf,mas,ga,DOC,DOI,POC,POI,DOC_sd,DOI_sd,POC_sd,POI_sd
0,0.1,0.1,0.5,2.8,0.5,0.994,1,0.004,0,0.023748684,0,0.019595918,0
1,0.1,0.1,0.5,3.2,0.5,0.99,1,0.008,0,0.03,0,0.02712932,0
2,0.1,0.1,0.5,3.6,0.5,0.992,1,0.008,0,0.033704599,0,0.02712932,0
3,0.1,0.1,0.5,2.8,1,0.992,1,0.006,0,0.033704599,0,0.023748684,0
4,0.1,0.1,0.5,3.2,1,1,1,0.004,0,0,0,0.019595918,0
5,0.1,0.1,0.5,3.6,1,0.99,1,0.002,0,0.03,0,0.014,0
6,0.1,0.1,0.5,2.8,1.5,0.992,1,0.006,0,0.02712932,0,0.023748684,0
7,0.1,0.1,0.5,3.2,1.5,0.996,1,0,0,0.019595918,0,0,0
8,0.1,0.1,0.5,3.6,1.5,0.992,1,0.008,0,0.02712932,0,0.02712932,0
9,0.1,0.1,0.5,2.8,2,0.984,1,0.008,0,0.036660606,0,0.02712932,0
10,0.1,0.1,0.5,3.2,2,0.994,1,0.002,0,0.023748684,0,0.014,0
11,0.1,0.1,0.5,3.6,2,0.996,1,0.006,0,0.019595918,0,0.023748684,0
12,0.1,0.1,0.7,2.8,0.5,0.994,1,0.008,0.002,0.023748684,0,0.02712932,0.014
13,0.1,0.1,0.7,3.2,0.5,0.996,1,0.008,0,0.019595918,0,0.02712932,0
14,0.1,0.1,0.7,3.6,0.5,0.992,1,0.006,0,0.02712932,0,0.023748684,0
15,0.1,0.1,0.7,2.8,1,0.994,1,0.008,0,0.023748684,0,0.02712932,0
16,0.1,0.1,0.7,3.2,1,1,1,0.006,0,0,0,0.023748684,0
17,0.1,0.1,0.7,3.6,1,0.996,1,0.006,0,0.019595918,0,0.023748684,0
18,0.1,0.1,0.7,2.8,1.5,0.996,1,0.006,0,0.019595918,0,0.023748684,0
19,0.1,0.1,0.7,3.2,1.5,0.992,1,0.012,0,0.02712932,0,0.032496154,0
20,0.1,0.1,0.7,3.6,1.5,0.994,1,0.008,0,0.023748684,0,0.02712932,0
21,0.1,0.1,0.7,2.8,2,0.996,1,0.002,0,0.019595918,0,0.014,0
22,0.1,0.1,0.7,3.2,2,0.99,1,0.004,0,0.03,0,0.019595918,0
23,0.1,0.1,0.7,3.6,2,0.994,1,0.002,0,0.023748684,0,0.014,0
24,0.1,0.1,0.9,2.8,0.5,0.998,1,0.002,0,0.014,0,0.014,0
25,0.1,0.1,0.9,3.2,0.5,0.996,1,0.006,0,0.019595918,0,0.023748684,0
26,0.1,0.1,0.9,3.6,0.5,0.994,1,0.002,0,0.023748684,0,0.014,0
27,0.1,0.1,0.9,2.8,1,0.996,1,0.008,0,0.019595918,0,0.02712932,0
28,0.1,0.1,0.9,3.2,1,0.998,1,0.006,0,0.014,0,0.023748684,0
29,0.1,0.1,0.9,3.6,1,0.996,1,0.008,0,0.028,0,0.02712932,0
30,0.1,0.1,0.9,2.8,1.5,0.99,1,0.008,0,0.03,0,0.02712932,0
31,0.1,0.1,0.9,3.2,1.5,0.994,1,0.006,0,0.023748684,0,0.023748684,0
32,0.1,0.1,0.9,3.6,1.5,0.998,1,0.018,0,0.014,0,0.038418745,0
33,0.1,0.1,0.9,2.8,2,0.998,1,0.01,0,0.014,0,0.03,0
34,0.1,0.1,0.9,3.2,2,0.992,1,0.01,0,0.033704599,0,0.03,0
35,0.1,0.1,0.9,3.6,2,0.992,1,0.004,0,0.02712932,0,0.019595918,0
36,0.1,0.1,1,2.8,0.5,0.996,1,0.002,0,0.019595918,0,0.014,0
37,0.1,0.1,1,3.2,0.5,1,1,0.01,0,0,0,0.03,0
38,0.1,0.1,1,3.6,0.5,1,1,0.004,0,0,0,0.019595918,0
39,0.1,0.1,1,2.8,1,0.992,1,0.008,0,0.02712932,0,0.02712932,0
40,0.1,0.1,1,3.2,1,0.994,1,0.008,0,0.031048349,0,0.02712932,0
41,0.1,0.1,1,3.6,1,0.996,1,0.008,0,0.019595918,0,0.02712932,0
42,0.1,0.1,1,2.8,1.5,0.994,1,0.008,0,0.031048349,0,0.02712932,0
43,0.1,0.1,1,3.2,1.5,0.994,1,0.004,0,0.023748684,0,0.019595918,0
44,0.1,0.1,1,3.6,1.5,0.996,1,0.01,0,0.028,0,0.03,0
45,0.1,0.1,1,2.8,2,0.996,1,0.008,0,0.019595918,0,0.02712932,0
46,0.1,0.1,1,3.2,2,0.986,1,0.004,0,0.040049969,0,0.019595918,0
47,0.1,0.1,1,3.6,2,0.994,1,0.008,0,0.023748684,0,0.02712932,0
48,0.1,0.3,0.5,2.8,0.5,0.988,1,0.006,0,0.032496154,0,0.023748684,0
49,0.1,0.3,0.5,3.2,0.5,0.992,1,0,0.002,0.02712932,0,0,0.014
50,0.1,0.3,0.5,3.6,0.5,0.998,1,0.002,0,0.014,0,0.014,0
51,0.1,0.3,0.5,2.8,1,0.998,1,0,0,0.014,0,0,0
52,0.1,0.3,0.5,3.2,1,0.992,1,0.006,0,0.02712932,0,0.023748684,0
53,0.1,0.3,0.5,3.6,1,0.994,1,0.008,0,0.023748684,0,0.02712932,0
54,0.1,0.3,0.5,2.8,1.5,0.998,1,0.01,0,0.014,0,0.03,0
55,0.1,0.3,0.5,3.2,1.5,0.994,1,0.006,0,0.023748684,0,0.023748684,0
56,0.1,0.3,0.5,3.6,1.5,0.99,1,0.006,0,0.03,0,0.023748684,0
57,0.1,0.3,0.5,2.8,2,0.996,1,0.004,0,0.019595918,0,0.019595918,0
58,0.1,0.3,0.5,3.2,2,0.996,1,0.02,0,0.019595918,0,0.04472136,0
59,0.1,0.3,0.5,3.6,2,0.996,1,0.004,0,0.019595918,0,0.019595918,0
60,0.1,0.3,0.7,2.8,0.5,0.99,1,0.008,0,0.036055513,0,0.02712932,0
61,0.1,0.3,0.7,3.2,0.5,0.994,1,0.002,0,0.023748684,0,0.014,0
62,0.1,0.3,0.7,3.6,0.5,0.99,1,0.01,0,0.03,0,0.03,0
63,0.1,0.3,0.7,2.8,1,0.996,1,0.004,0,0.019595918,0,0.019595918,0
64,0.1,0.3,0.7,3.2,1,0.994,1,0.002,0,0.023748684,0,0.014,0
65,0.1,0.3,0.7,3.6,1,0.994,1,0.008,0,0.023748684,0,0.02712932,0
66,0.1,0.3,0.7,2.8,1.5,0.99,1,0.008,0,0.036055513,0,0.02712932,0
67,0.1,0.3,0.7,3.2,1.5,0.99,1,0.002,0,0.036055513,0,0.014,0
68,0.1,0.3,0.7,3.6,1.5,0.994,1,0.008,0,0.023748684,0,0.02712932,0
69,0.1,0.3,0.7,2.8,2,0.994,1,0.006,0,0.023748684,0,0.023748684,0
70,0.1,0.3,0.7,3.2,2,0.996,1,0.004,0,0.019595918,0,0.019595918,0
71,0.1,0.3,0.7,3.6,2,0.998,1,0.012,0,0.014,0,0.032496154,0
72,0.1,0.3,0.9,2.8,0.5,0.994,1,0.006,0,0.023748684,0,0.023748684,0
73,0.1,0.3,0.9,3.2,0.5,0.996,1,0.006,0,0.019595918,0,0.023748684,0
74,0.1,0.3,0.9,3.6,0.5,1,1,0.006,0,0,0,0.023748684,0
75,0.1,0.3,0.9,2.8,1,0.99,1,0.01,0,0.03,0,0.03,0
76,0.1,0.3,0.9,3.2,1,1,1,0.01,0,0,0,0.03,0
77,0.1,0.3,0.9,3.6,1,0.996,1,0.002,0,0.019595918,0,0.014,0
78,0.1,0.3,0.9,2.8,1.5,0.992,1,0.004,0,0.033704599,0,0.019595918,0
79,0.1,0.3,0.9,3.2,1.5,0.994,1,0.006,0,0.023748684,0,0.023748684,0
80,0.1,0.3,0.9,3.6,1.5,0.99,1,0.006,0,0.03,0,0.023748684,0
81,0.1,0.3,0.9,2.8,2,0.994,1,0.01,0,0.023748684,0,0.03,0
82,0.1,0.3,0.9,3.2,2,1,1,0.002,0,0,0,0.014,0
83,0.1,0.3,0.9,3.6,2,0.992,1,0.006,0,0.033704599,0,0.023748684,0
84,0.1,0.3,1,2.8,0.5,0.994,1,0.004,0,0.023748684,0,0.019595918,0
85,0.1,0.3,1,3.2,0.5,0.994,1,0.002,0,0.023748684,0,0.014,0
86,0.1,0.3,1,3.6,0.5,0.996,1,0.008,0,0.019595918,0,0.02712932,0
87,0.1,0.3,1,2.8,1,0.992,1,0.002,0,0.02712932,0,0.014,0
88,0.1,0.3,1,3.2,1,0.992,1,0.01,0,0.02712932,0,0.03,0
89,0.1,0.3,1,3.6,1,0.996,1,0.012,0,0.019595918,0,0.032496154,0
90,0.1,0.3,1,2.8,1.5,0.988,1,0.01,0,0.032496154,0,0.036055513,0
91,0.1,0.3,1,3.2,1.5,0.994,1,0.008,0,0.023748684,0,0.02712932,0
92,0.1,0.3,1,3.6,1.5,0.996,1,0.008,0,0.019595918,0,0.033704599,0
93,0.1,0.3,1,2.8,2,0.994,1,0.006,0,0.023748684,0,0.023748684,0
94,0.1,0.3,1,3.2,2,0.99,1,0.008,0,0.03,0,0.02712932,0
95,0.1,0.3,1,3.6,2,0.994,1,0,0,0.023748684,0,0,0
96,0.1,0.5,0.5,2.8,0.5,0.992,1,0.002,0,0.02712932,0,0.014,0
97,0.1,0.5,0.5,3.2,0.5,0.994,1,0.004,0,0.023748684,0,0.019595918,0
98,0.1,0.5,0.5,3.6,0.5,1,1,0.008,0,0,0,0.02712932,0
99,0.1,0.5,0.5,2.8,1,0.992,1,0.01,0,0.02712932,0,0.03,0
100,0.1,0.5,0.5,3.2,1,0.994,1,0.01,0,0.023748684,0,0.03,0
101,0.1,0.5,0.5,3.6,1,0.99,1,0.008,0,0.03,0,0.02712932,0
102,0.1,0.5,0.5,2.8,1.5,0.996,1,0.006,0,0.019595918,0,0.023748684,0
103,0.1,0.5,0.5,3.2,1.5,0.992,1,0.012,0,0.033704599,0,0.032496154,0
104,0.1,0.5,0.5,3.6,1.5,0.998,1,0.004,0,0.014,0,0.019595918,0
105,0.1,0.5,0.5,2.8,2,0.992,1,0.006,0,0.02712932,0,0.023748684,0
106,0.1,0.5,0.5,3.2,2,0.994,1,0.008,0,0.023748684,0,0.02712932,0
107,0.1,0.5,0.5,3.6,2,0.996,1,0.006,0,0.019595918,0,0.023748684,0
108,0.1,0.5,0.7,2.8,0.5,0.998,1,0.008,0,0.014,0,0.02712932,0
109,0.1,0.5,0.7,3.2,0.5,0.992,1,0.008,0,0.033704599,0,0.02712932,0
110,0.1,0.5,0.7,3.6,0.5,0.984,1,0.01,0,0.036660606,0,0.036055513,0
111,0.1,0.5,0.7,2.8,1,0.99,1,0.002,0,0.036055513,0,0.014,0
112,0.1,0.5,0.7,3.2,1,0.994,1,0.008,0,0.023748684,0,0.02712932,0
113,0.1,0.5,0.7,3.6,1,0.99,1,0.006,0,0.03,0,0.023748684,0
114,0.1,0.5,0.7,2.8,1.5,0.988,1,0.002,0,0.032496154,0,0.014,0
115,0.1,0.5,0.7,3.2,1.5,0.998,1,0.004,0,0.014,0,0.019595918,0
116,0.1,0.5,0.7,3.6,1.5,0.994,1,0.008,0,0.023748684,0,0.02712932,0
117,0.1,0.5,0.7,2.8,2,0.996,1,0.004,0,0.019595918,0,0.019595918,0
118,0.1,0.5,0.7,3.2,2,0.992,1,0.004,0,0.02712932,0,0.019595918,0
119,0.1,0.5,0.7,3.6,2,0.994,1,0.008,0,0.023748684,0,0.02712932,0
120,0.1,0.5,0.9,2.8,0.5,0.996,0.998,0.004,0,0.019595918,0.014,0.019595918,0
121,0.1,0.5,0.9,3.2,0.5,0.986,1,0.002,0,0.034698703,0,0.014,0
122,0.1,0.5,0.9,3.6,0.5,0.99,1,0.004,0,0.03,0,0.019595918,0
123,0.1,0.5,0.9,2.8,1,0.992,1,0.008,0,0.02712932,0,0.033704599,0
124,0.1,0.5,0.9,3.2,1,0.992,1,0.004,0,0.02712932,0,0.019595918,0
125,0.1,0.5,0.9,3.6,1,0.996,1,0.01,0,0.019595918,0,0.036055513,0
126,0.1,0.5,0.9,2.8,1.5,0.992,1,0.01,0,0.02712932,0,0.03,0
127,0.1,0.5,0.9,3.2,1.5,0.988,1,0.008,0,0.032496154,0,0.02712932,0
128,0.1,0.5,0.9,3.6,1.5,0.998,1,0,0,0.014,0,0,0
129,0.1,0.5,0.9,2.8,2,0.99,1,0.008,0,0.036055513,0,0.02712932,0
130,0.1,0.5,0.9,3.2,2,0.996,1,0.006,0,0.019595918,0,0.023748684,0
131,0.1,0.5,0.9,3.6,2,0.996,1,0.008,0,0.019595918,0,0.02712932,0
132,0.1,0.5,1,2.8,0.5,0.99,1,0.004,0,0.03,0,0.019595918,0
133,0.1,0.5,1,3.2,0.5,0.994,1,0.002,0,0.023748684,0,0.014,0
134,0.1,0.5,1,3.6,0.5,0.994,1,0.004,0,0.023748684,0,0.028,0
135,0.1,0.5,1,2.8,1,0.992,1,0.008,0,0.033704599,0,0.02712932,0
136,0.1,0.5,1,3.2,1,0.998,1,0.002,0,0.014,0,0.014,0
137,0.1,0.5,1,3.6,1,0.988,1,0.006,0,0.032496154,0,0.023748684,0
138,0.1,0.5,1,2.8,1.5,0.992,1,0.008,0,0.02712932,0,0.02712932,0
139,0.1,0.5,1,3.2,1.5,0.994,1,0.002,0,0.023748684,0,0.014,0
140,0.1,0.5,1,3.6,1.5,1,1,0.008,0,0,0,0.02712932,0
141,0.1,0.5,1,2.8,2,0.996,1,0.006,0,0.019595918,0,0.023748684,0
142,0.1,0.5,1,3.2,2,0.994,1,0.002,0,0.023748684,0,0.014,0
143,0.1,0.5,1,3.6,2,0.99,1,0.012,0,0.03,0,0.032496154,0
144,0.1,0.7,0.5,2.8,0.5,0.994,1,0.006,0,0.023748684,0,0.023748684,0
145,0.1,0.7,0.5,3.2,0.5,0.994,1,0.004,0,0.023748684,0,0.019595918,0
146,0.1,0.7,0.5,3.6,0.5,0.998,1,0.006,0,0.014,0,0.023748684,0
147,0.1,0.7,0.5,2.8,1,0.998,1,0.004,0,0.014,0,0.019595918,0
148,0.1,0.7,0.5,3.2,1,0.994,1,0.006,0,0.023748684,0,0.023748684,0
149,0.1,0.7,0.5,3.6,1,0.998,1,0.002,0,0.014,0,0.014,0
150,0.1,0.7,0.5,2.8,1.5,0.99,1,0,0,0.036055513,0,0,0
151,0.1,0.7,0.5,3.2,1.5,0.996,1,0.004,0,0.019595918,0,0.019595918,0
152,0.1,0.7,0.5,3.6,1.5,0.994,1,0.002,0,0.023748684,0,0.014,0
153,0.1,0.7,0.5,2.8,2,0.992,1,0.004,0,0.033704599,0,0.019595918,0
154,0.1,0.7,0.5,3.2,2,0.988,1,0.002,0,0.032496154,0,0.014,0
155,0.1,0.7,0.5,3.6,2,0.99,1,0.004,0,0.03,0,0.019595918,0
156,0.1,0.7,0.7,2.8,0.5,0.996,1,0.01,0,0.019595918,0,0.03,0
157,0.1,0.7,0.7,3.2,0.5,0.996,1,0.008,0,0.019595918,0,0.02712932,0
158,0.1,0.7,0.7,3.6,0.5,0.992,1,0.018,0,0.02712932,0,0.038418745,0
159,0.1,0.7,0.7,2.8,1,0.99,1,0.006,0,0.036055513,0,0.023748684,0
160,0.1,0.7,0.7,3.2,1,0.99,1,0.006,0,0.03,0,0.023748684,0
