,ans,bll,lf,mas,ga,rmse,DOC,DOI,POC,POI
0,0.1,0.1,0.5,2.8,0.5,0.9336454533198099,0.9939999999999999,1.0,0.004,0.0
1,0.1,0.1,0.5,3.2,0.5,0.9297820280688758,0.99,1.0,0.008,0.0
2,0.1,0.1,0.5,3.6,0.5,0.9305757027691564,0.9919999999999999,1.0,0.008,0.0
3,0.1,0.1,0.5,2.8,1.0,0.9317093205492548,0.9919999999999999,1.0,0.006000000000000001,0.0
4,0.1,0.1,0.5,3.2,1.0,0.9360686917747856,1.0,1.0,0.004,0.0
5,0.1,0.1,0.5,3.6,1.0,0.9331963624645021,0.99,1.0,0.002,0.0
6,0.1,0.1,0.5,2.8,1.5,0.9317093205492548,0.9919999999999999,1.0,0.006000000000000001,0.0
7,0.1,0.1,0.5,3.2,1.5,0.9367366168281924,0.996,1.0,0.0,0.0
8,0.1,0.1,0.5,3.6,1.5,0.9305757027691564,0.9919999999999999,1.0,0.008,0.0
9,0.1,0.1,0.5,2.8,2.0,0.9274300629110379,0.9839999999999999,1.0,0.008,0.0
10,0.1,0.1,0.5,3.2,2.0,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
11,0.1,0.1,0.5,3.6,2.0,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
12,0.1,0.1,0.7,2.8,0.5,0.9299747672549479,0.9939999999999999,1.0,0.008,0.002
13,0.1,0.1,0.7,3.2,0.5,0.9321774999017848,0.996,1.0,0.008,0.0
14,0.1,0.1,0.7,3.6,0.5,0.9317093205492548,0.992,1.0,0.006000000000000001,0.0
15,0.1,0.1,0.7,2.8,1.0,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
16,0.1,0.1,0.7,3.2,1.0,0.9349314186102833,1.0,1.0,0.006000000000000001,0.0
17,0.1,0.1,0.7,3.6,1.0,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
18,0.1,0.1,0.7,2.8,1.5,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
19,0.1,0.1,0.7,3.2,1.5,0.9283215509150804,0.9919999999999999,1.0,0.012,0.0
20,0.1,0.1,0.7,3.6,1.5,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
21,0.1,0.1,0.7,2.8,2.0,0.9355903678842525,0.996,1.0,0.002,0.0
22,0.1,0.1,0.7,3.2,2.0,0.9320539151694823,0.9899999999999999,1.0,0.004,0.0
23,0.1,0.1,0.7,3.6,2.0,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
24,0.1,0.1,0.9,2.8,0.5,0.9363979399228143,0.998,1.0,0.002,0.0
25,0.1,0.1,0.9,3.2,0.5,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
26,0.1,0.1,0.9,3.6,0.5,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
27,0.1,0.1,0.9,2.8,1.0,0.9321774999017848,0.996,1.0,0.008,0.0
28,0.1,0.1,0.9,3.2,1.0,0.934118719693167,0.998,1.0,0.006000000000000001,0.0
29,0.1,0.1,0.9,3.6,1.0,0.9321774999017848,0.996,1.0,0.008,0.0
30,0.1,0.1,0.9,2.8,1.5,0.9297820280688758,0.9899999999999999,1.0,0.008,0.0
31,0.1,0.1,0.9,3.2,1.5,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
32,0.1,0.1,0.9,3.6,1.5,0.9273854165563704,0.998,1.0,0.018,0.0
33,0.1,0.1,0.9,2.8,2.0,0.9318568137360576,0.998,1.0,0.01,0.0
34,0.1,0.1,0.9,3.2,2.0,0.929446441279398,0.992,1.0,0.01,0.0
35,0.1,0.1,0.9,3.6,2.0,0.9328472797786997,0.9919999999999999,1.0,0.004,0.0
36,0.1,0.1,1.0,2.8,0.5,0.9355903678842525,0.996,1.0,0.002,0.0
37,0.1,0.1,1.0,3.2,0.5,0.9326698598461178,1.0,1.0,0.01,0.0
38,0.1,0.1,1.0,3.6,0.5,0.9360686917747856,1.0,1.0,0.004,0.0
39,0.1,0.1,1.0,2.8,1.0,0.9305757027691564,0.9919999999999999,1.0,0.008,0.0
40,0.1,0.1,1.0,3.2,1.0,0.9313741979254393,0.9940000000000001,1.0,0.008,0.0
41,0.1,0.1,1.0,3.6,1.0,0.9321774999017848,0.996,1.0,0.008,0.0
42,0.1,0.1,1.0,2.8,1.5,0.9313741979254393,0.9940000000000001,1.0,0.008,0.0
43,0.1,0.1,1.0,3.2,1.5,0.9336454533198099,0.9939999999999999,1.0,0.004,0.0
44,0.1,0.1,1.0,3.6,1.5,0.9310485528158727,0.996,1.0,0.01,0.0
45,0.1,0.1,1.0,2.8,2.0,0.9321774999017848,0.996,1.0,0.008,0.0
46,0.1,0.1,1.0,3.2,2.0,0.9304816669833744,0.986,1.0,0.004,0.0
47,0.1,0.1,1.0,3.6,2.0,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
48,0.1,0.3,0.5,2.8,0.5,0.9301271052295286,0.988,1.0,0.006000000000000001,0.0
49,0.1,0.3,0.5,3.2,0.5,0.9337518667232996,0.9919999999999999,1.0,0.0,0.002
50,0.1,0.3,0.5,3.6,0.5,0.9363979399228143,0.998,1.0,0.002,0.0
51,0.1,0.3,0.5,2.8,1.0,0.9375440059913469,0.998,1.0,0.0,0.0
52,0.1,0.3,0.5,3.2,1.0,0.9317093205492548,0.9919999999999999,1.0,0.006000000000000001,0.0
53,0.1,0.3,0.5,3.6,1.0,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
54,0.1,0.3,0.5,2.8,1.5,0.9318568137360576,0.998,1.0,0.01,0.0
55,0.1,0.3,0.5,3.2,1.5,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
56,0.1,0.3,0.5,3.6,1.5,0.9309157987459034,0.9899999999999999,1.0,0.006000000000000001,0.0
57,0.1,0.3,0.5,2.8,2.0,0.9344484222212837,0.996,1.0,0.004,0.0
58,0.1,0.3,0.5,3.2,2.0,0.9254695489927403,0.996,1.0,0.02,0.0
59,0.1,0.3,0.5,3.6,2.0,0.9344484222212837,0.996,1.0,0.004,0.0
60,0.1,0.3,0.7,2.8,0.5,0.9297820280688758,0.9899999999999999,1.0,0.008,0.0
61,0.1,0.3,0.7,3.2,0.5,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
62,0.1,0.3,0.7,3.6,0.5,0.9286526180083399,0.9899999999999999,1.0,0.01,0.0
63,0.1,0.3,0.7,2.8,1.0,0.9344484222212837,0.996,1.0,0.004,0.0
64,0.1,0.3,0.7,3.2,1.0,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
65,0.1,0.3,0.7,3.6,1.0,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
66,0.1,0.3,0.7,2.8,1.5,0.9297820280688758,0.9899999999999999,1.0,0.008,0.0
67,0.1,0.3,0.7,3.2,1.5,0.9331963624645021,0.99,1.0,0.002,0.0
68,0.1,0.3,0.7,3.6,1.5,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
69,0.1,0.3,0.7,2.8,2.0,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
70,0.1,0.3,0.7,3.2,2.0,0.9344484222212837,0.996,1.0,0.004,0.0
71,0.1,0.3,0.7,3.6,2.0,0.9307323904899917,0.998,1.0,0.012,0.0
72,0.1,0.3,0.9,2.8,0.5,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
73,0.1,0.3,0.9,3.2,0.5,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
74,0.1,0.3,0.9,3.6,0.5,0.9349314186102833,1.0,1.0,0.006000000000000001,0.0
75,0.1,0.3,0.9,2.8,1.0,0.9286526180083399,0.99,1.0,0.01,0.0
76,0.1,0.3,0.9,3.2,1.0,0.9326698598461178,1.0,1.0,0.01,0.0
