,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,alpha,egs,mAC,mAI,mPC,mPI,mid,min_rmse,r1,r2
0,1,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,0.1,0.9,0.512,0.49200000000000005,0.424,0.516,131.0,0.013945847649629141,1.0,0.0
1,3,0.8333333333333334,1.0,0.4166666666666667,0.5,0.75,0.6666666666666666,0,0.1,1.3,0.614,0.536,0.38,0.506,179.0,0.236765052319805,10.0,0.0
2,4,0.9166666666666666,0.5,0.3333333333333333,0.3333333333333333,0.9722222222222222,0.5555555555555556,0,0.1,0.5,0.802,0.488,0.20800000000000002,0.496,107.0,0.18277061215268353,10.0,0.0
3,5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9166666666666666,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.0624203225453591,5.0,0.0
4,6,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,0.1,0.9,0.514,0.506,0.444,0.52,124.0,0.010082658379613979,0.5,-0.1
5,7,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.14240901188712274,5.0,0.0
6,8,0.75,0.8333333333333334,0.0,0.16666666666666666,0.8055555555555556,0.4166666666666667,0,0.3,1.3,0.82,0.522,0.15,0.5,358.0,0.3215845508312446,10.0,-0.1
7,9,0.75,1.0,0.2727272727272727,0.5,0.9428571428571428,0.6,1,0.1,1.3,0.614,0.536,0.38,0.506,179.0,0.2857791979833382,10.0,0.0
8,13,0.9166666666666666,1.0,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8888888888888888,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.15572901677807724,0.5,0.0
9,14,0.9166666666666666,1.0,0.9166666666666666,0.3333333333333333,0.9722222222222222,0.8333333333333334,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.3656653615898923,0.5,0.0
10,15,0.75,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.8055555555555556,0.6388888888888888,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.21964044861242357,0.5,0.0
11,16,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.14240901188712274,5.0,0.0
12,17,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,0.9722222222222222,0,0.1,0.9,0.514,0.506,0.444,0.52,124.0,0.010082658379613979,0.5,-0.1
13,18,0.75,1.0,0.16666666666666666,0.16666666666666666,0.8611111111111112,0.5,0,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.38779070385969805,10.0,-0.5
14,20,0.18181818181818185,0.8,0.1,0.16666666666666666,0.8125,0.25,4,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.3591416108816502,0.1,0.0
15,21,0.9090909090909092,0.8333333333333334,0.9166666666666666,1.0,0.8857142857142857,0.9142857142857144,1,0.9,0.9,0.47600000000000003,0.41200000000000003,0.484,0.584,837.0,0.011923925528113638,0.1,-0.5
16,22,1.0,1.0,0.6666666666666666,1.0,0.9166666666666666,0.8888888888888888,0,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.10862010249795691,5.0,-0.5
