,alpha,egs,r1,r2,DOC,DOI,POC,POI
0,0.1,0.01,0,-10,0.3,0,0.69,1
1,0.1,0.01,0,-5,0.36,0,0.668,1
2,0.1,0.01,0,-1,0.32,0,0.65,1
3,0.1,0.01,0,-0.5,0.39,0.012,0.674,0.986
4,0.1,0.01,0,-0.1,0.286,0.216,0.656,0.798
5,0.1,0.01,0,0,0.358,0.3,0.658,0.68
6,0.1,0.01,0.1,-10,0.462,0,0.458,1
7,0.1,0.01,0.1,-5,0.47,0,0.508,1
8,0.1,0.01,0.1,-1,0.52,0,0.502,1
9,0.1,0.01,0.1,-0.5,0.516,0.01,0.51,0.984
10,0.1,0.01,0.1,-0.1,0.492,0.22,0.5,0.82
11,0.1,0.01,0.1,0,0.51,0.354,0.448,0.648
12,0.1,0.01,0.5,-10,0.936,0,0.04,1
13,0.1,0.01,0.5,-5,0.932,0,0.044,1
14,0.1,0.01,0.5,-1,0.962,0,0.062,1
15,0.1,0.01,0.5,-0.5,0.952,0.002,0.062,0.988
16,0.1,0.01,0.5,-0.1,0.95,0.214,0.058,0.786
17,0.1,0.01,0.5,0,0.952,0.306,0.046,0.664
18,0.1,0.01,1,-10,0.998,0,0,1
19,0.1,0.01,1,-5,1,0,0.002,1
20,0.1,0.01,1,-1,1,0,0,1
21,0.1,0.01,1,-0.5,1,0.004,0,0.982
22,0.1,0.01,1,-0.1,1,0.212,0.002,0.8
23,0.1,0.01,1,0,0.998,0.338,0,0.668
24,0.1,0.01,5,-10,1,0,0,1
25,0.1,0.01,5,-5,1,0,0,1
26,0.1,0.01,5,-1,1,0,0,1
27,0.1,0.01,5,-0.5,1,0.02,0,0.976
28,0.1,0.01,5,-0.1,1,0.214,0,0.798
29,0.1,0.01,5,0,1,0.328,0,0.686
30,0.1,0.01,10,-10,1,0,0,1
31,0.1,0.01,10,-5,1,0,0,1
32,0.1,0.01,10,-1,1,0,0,1
33,0.1,0.01,10,-0.5,1,0.016,0,0.99
34,0.1,0.01,10,-0.1,1,0.188,0,0.788
35,0.1,0.01,10,0,1,0.294,0,0.632
36,0.1,0.1,0,-10,0.498,0,0.564,0.998
37,0.1,0.1,0,-5,0.452,0.02,0.528,0.964
38,0.1,0.1,0,-1,0.472,0.32,0.492,0.688
39,0.1,0.1,0,-0.5,0.494,0.38,0.556,0.58
40,0.1,0.1,0,-0.1,0.486,0.48,0.526,0.54
41,0.1,0.1,0,0,0.488,0.438,0.532,0.532
42,0.1,0.1,0.1,-10,0.474,0,0.486,1
43,0.1,0.1,0.1,-5,0.528,0.03,0.506,0.956
44,0.1,0.1,0.1,-1,0.52,0.318,0.472,0.69
45,0.1,0.1,0.1,-0.5,0.512,0.384,0.496,0.57
46,0.1,0.1,0.1,-0.1,0.498,0.474,0.486,0.542
47,0.1,0.1,0.1,0,0.48,0.472,0.466,0.532
48,0.1,0.1,0.5,-10,0.54,0,0.45,1
49,0.1,0.1,0.5,-5,0.57,0.026,0.434,0.974
50,0.1,0.1,0.5,-1,0.544,0.322,0.442,0.702
51,0.1,0.1,0.5,-0.5,0.568,0.424,0.45,0.562
52,0.1,0.1,0.5,-0.1,0.56,0.456,0.436,0.548
53,0.1,0.1,0.5,0,0.566,0.488,0.442,0.492
54,0.1,0.1,1,-10,0.648,0,0.328,1
55,0.1,0.1,1,-5,0.654,0.028,0.37,0.984
56,0.1,0.1,1,-1,0.634,0.312,0.354,0.676
