subjID,C,I,A,P,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,prod_error_rate,bad_subj
1,1,1,1,1,1,1,1,1,0.8333333333333334,1,0,0,FALSE
2,0.625,0.75,0.8888888888888888,0.4444444444444444,0.8333333333333334,1,0.4166666666666667,0.5,0.75,0.6666666666666666,0,0.3055555555555556,FALSE
3,0.625,0.4166666666666667,0.7777777777777778,0.3333333333333333,0.9166666666666666,0.5,0.3333333333333333,0.3333333333333333,0.9722222222222222,0.5555555555555556,0,0,FALSE
4,0.9166666666666666,0.9166666666666666,1,0.8333333333333334,1,1,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9166666666666666,0,0,FALSE
5,0.9583333333333334,1,1,0.9444444444444444,1,1,0.9166666666666666,1,1,0.9722222222222222,0,0,FALSE
6,0.7916666666666666,0.8333333333333334,0.9444444444444444,0.6666666666666666,0.9166666666666666,1,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,0,FALSE
7,0.375,0.5,0.7777777777777778,0.05555555555555555,0.75,0.8333333333333334,0,0.16666666666666666,0.8055555555555556,0.4166666666666667,0,0.3611111111111111,FALSE
8,0.5217391304347826,0.75,0.8333333333333334,0.35294117647058826,0.75,1,0.2727272727272727,0.5,0.9444444444444444,0.6,1,0.08333333333333333,FALSE
9,1,1,1,1,1,1,1,1,0.8888888888888888,1,0,0,FALSE
10,1,1,1,1,1,1,1,1,0.9722222222222222,1,0,0,FALSE
11,1,1,1,1,1,1,1,1,0.9444444444444444,1,0,0,FALSE
12,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.8333333333333334,0.9166666666666666,1,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8888888888888888,0,0,FALSE
13,0.9166666666666666,0.6666666666666666,0.9444444444444444,0.7222222222222222,0.9166666666666666,1,0.9166666666666666,0.3333333333333333,0.9722222222222222,0.8333333333333334,0,0,FALSE
14,0.6521739130434783,0.5833333333333334,0.7647058823529411,0.5,0.7272727272727273,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.8055555555555556,0.6285714285714286,1,0.2777777777777778,FALSE
