subjID,AC,AI,PC,PI
1,1,1,0.909,1
3,0.833,1,0.417,0.5
4,0.917,0.5,0.333,0.333
5,1,1,0.833,0.833
6,1,1,0.917,1
7,0.917,1,0.667,0.667
8,0.75,0.833,0,0.167
9,0.75,1,0.273,0.5
13,0.917,1,0.917,0.667
14,0.917,1,0.917,0.333
15,0.75,0.833,0.583,0.333
16,0.917,1,0.667,0.667
17,1,1,0.917,1
18,0.75,1,0.167,0.167
20,0.182,0.8,0.1,0.167
21,0.909,0.833,0.917,1
22,1,1,0.667,1
24,0.833,1,0.583,0.667
25,0.833,1,0.667,0.833
26,1,1,0.917,1
27,1,1,0.909,1
28,0.833,0.833,0.727,0.667
30,0.75,0.667,0.417,0.5
31,0.333,0.75,0.8,1
32,0.917,0.833,0.833,1
33,0.917,1,1,1
35,0.917,1,0.75,0.833
36,1,1,0.833,1
38,0.5,0.833,0.083,0.2
39,1,1,0.667,0.833
40,1,1,0.083,0
41,0.833,0.6,0.5,0.6
42,0.583,0.5,0.167,0.5
43,0.583,0.5,0.583,0.6
44,0.917,1,0.75,0.833
46,1,1,0.5,0.833
47,0.833,0.833,0.583,0.833
49,0.833,0.833,0.833,0.667
50,1,1,0.667,1
51,1,1,0.545,0.5
52,0.917,1,0.75,0.667
53,0,0.333,0,0
55,0.25,0.667,0,0.167
58,1,1,0.833,1
59,0.25,0.333,0.083,0
61,1,1,1,0.833
63,1,1,0.75,1
64,0.583,0.833,0.167,0.667
66,1,1,0.9,1
67,1,1,0.5,0.667
68,1,0.667,0,0
69,1,1,0.833,0.833
70,0.667,0.833,0.75,0.333
73,1,0.833,1,1
74,1,1,0.833,1
75,1,1,0.917,1
76,0.75,0.833,0.167,0.333
77,0.917,1,0.833,1
78,0.917,1,0.909,1
79,0.833,0.833,0.75,0.667
81,1,1,0.917,0.833
82,1,1,0.917,0.833
83,0.667,0.5,0.167,0.5
84,0.75,0.833,0.417,0.4
86,1,1,0.917,1
87,1,1,0.833,0.667
88,0.5,0.833,1,0.8
89,0.917,1,0.833,0.833
90,1,0.833,0.917,1
91,1,1,0.833,0.833
