surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries
06hegj8j20201103,1,1,0.6,0.8,FALSE,0.9,0.85,0
08pg7vs020201109,1,0.8,1,0.8,FALSE,0.95,0.9,0
0l8rg1mg20201128,0.2,0.2,0,0,FALSE,1,0.1,0
0uj1405b20200308,1,0.75,1,1,TRUE,0.9473684210526315,0.9473684210526315,1
156cuu2w20201110,1,1,0.8,0.8,FALSE,0.8947368421052632,0.8947368421052632,1
18hkpswn20201104,0.6,0,0.3333333333333333,0.4,FALSE,0.8,0.4,5
1az8fajr20200228,0.8,1,0.6,0.8,TRUE,1,0.8,0
1nl62prr20201102,0.8,1,1,0.6,FALSE,1,0.85,0
1xfwyety20200129,0.6,0.8,1,1,TRUE,0.9,0.85,0
2g561hrg20200114,0.6,1,0.6,0.6,TRUE,1,0.7,0
2l0c9f5y20201201,0.6,0.8,1,1,FALSE,1,0.85,0
2njwll2120201105,1,0.5,0.75,0.75,FALSE,1,0.75,4
2tobc1y520200127,0.3333333333333333,0.8,0.5,0.8,TRUE,0.9411764705882353,0.6470588235294118,3
3buyh5cf20201201,1,1,0.2,0.6,FALSE,1,0.7,0
3eawrh7a20200127,1,1,1,1,TRUE,0.9,1,0
3oa8oht020201103,1,0.25,0.4,0.6,FALSE,0.8333333333333334,0.5555555555555556,2
3r2ryu3720201113,1,1,0.6,0.6,FALSE,1,0.8,0
3snwhrt620201123,1,1,1,1,FALSE,1,1,7
3t6e4bdy20201116,1,1,0.8,0.4,FALSE,0.95,0.8,0
4keyrr2d20201120,0.6,0.8,0.8,0.8,FALSE,0.9,0.75,0
4mp9c1lx20201102,0.2,0.8,0.2,0.4,FALSE,0.8,0.4,0
52eq140x20200217,1,1,1,1,TRUE,0.95,1,0
568mzqtf20201105,0.6,1,1,0.8,FALSE,0.95,0.85,0
5vahoc0o20200127,1,0.4,0.6,0.75,TRUE,1,0.6842105263157895,1
5vvjswl220201208,0.2,0.6,0.2,0.2,FALSE,0.9,0.3,0
60a2h15h20201105,0.2,0.6,0.6,0.6,FALSE,0.85,0.5,0
70on3oc120200214,0.8,0.4,0.4,0.6,TRUE,1,0.55,0
7c7ybket20200127,0.6,0.4,0.8,0.4,TRUE,1,0.55,0
