surveyID,DO,PD,C,I,DOC,DOI,POC,POI,resp_accuracy,mean_prop,missing_entries,bad_subj
06hegj8j20201103,1,0.7,0.8,0.9,1,1,0.6,0.8,0.9,0.85,0,FALSE
08pg7vs020201109,0.9,0.9,1,0.8,1,0.8,1,0.8,0.95,0.9,0,FALSE
0l8rg1mg20201128,0.2,0,0.1,0.1,0.2,0.2,0,0,1,0.1,0,FALSE
0uj1405b20200308,0.8888888888888888,1,1,0.8888888888888888,1,0.75,1,1,0.95,0.9473684210526315,1,FALSE
156cuu2w20201110,1,0.8,0.9,0.8888888888888888,1,1,0.8,0.8,0.9,0.8947368421052632,1,FALSE
18hkpswn20201104,0.42857142857142855,0.375,0.5,0.2857142857142857,0.6,0,0.3333333333333333,0.4,0.8,0.4,5,TRUE
1az8fajr20200228,0.9,0.7,0.7,0.9,0.8,1,0.6,0.8,1,0.8,0,FALSE
1nl62prr20201102,0.9,0.8,0.9,0.8,0.8,1,1,0.6,1,0.85,0,FALSE
1xfwyety20200129,0.7,1,0.8,0.9,0.6,0.8,1,1,0.9,0.85,0,FALSE
2g561hrg20200114,0.8,0.6,0.6,0.8,0.6,1,0.6,0.6,1,0.7,0,FALSE
2l0c9f5y20201201,0.7,1,0.8,0.9,0.6,0.8,1,1,1,0.85,0,FALSE
2njwll2120201105,0.75,0.75,0.875,0.625,1,0.5,0.75,0.75,1,0.75,4,FALSE
2tobc1y520200127,0.625,0.6666666666666666,0.42857142857142855,0.8,0.3333333333333333,0.8,0.5,0.8,0.9,0.6470588235294118,3,FALSE
3buyh5cf20201201,1,0.4,0.6,0.8,1,1,0.2,0.6,1,0.7,0,FALSE
3eawrh7a20200127,1,1,1,1,1,1,1,1,0.9,1,0,FALSE
3oa8oht020201103,0.625,0.5,0.6666666666666666,0.4444444444444444,1,0.25,0.4,0.6,0.85,0.5555555555555556,2,FALSE
3r2ryu3720201113,1,0.6,0.8,0.8,1,1,0.6,0.6,1,0.8,0,FALSE
3snwhrt620201123,1,1,1,1,1,1,1,1,0.95,1,7,TRUE
3t6e4bdy20201116,1,0.6,0.9,0.7,1,1,0.8,0.4,0.95,0.8,0,FALSE
4keyrr2d20201120,0.7,0.8,0.7,0.8,0.6,0.8,0.8,0.8,0.9,0.75,0,FALSE
4mp9c1lx20201102,0.5,0.3,0.2,0.6,0.2,0.8,0.2,0.4,0.8,0.4,0,FALSE
52eq140x20200217,1,1,1,1,1,1,1,1,0.95,1,0,FALSE
568mzqtf20201105,0.8,0.9,0.8,0.9,0.6,1,1,0.8,0.95,0.85,0,FALSE
5vahoc0o20200127,0.7,0.6666666666666666,0.8,0.5555555555555556,1,0.4,0.6,0.75,1,0.6842105263157895,1,FALSE
5vvjswl220201208,0.4,0.2,0.2,0.4,0.2,0.6,0.2,0.2,0.9,0.3,0,FALSE
60a2h15h20201105,0.4,0.6,0.4,0.6,0.2,0.6,0.6,0.6,0.85,0.5,0,FALSE
70on3oc120200214,0.6,0.5,0.6,0.5,0.8,0.4,0.4,0.6,1,0.55,0,FALSE
7c7ybket20200127,0.5,0.6,0.7,0.4,0.6,0.4,0.8,0.4,1,0.55,0,FALSE
7t97zebw20200211,0.9,0.7,0.9,0.7,1,0.8,0.8,0.6,0.95,0.8,0,FALSE
85kcpq4820200308,0.8888888888888888,0.6666666666666666,0.875,0.7,0.75,1,1,0.4,1,0.7777777777777778,2,FALSE
