subjID,DOC,DOI,POC,POI
06hegj8j20201103,1,1,0.6,0.8
08pg7vs020201109,1,0.8,1,0.8
0l8rg1mg20201128,0.2,0.2,0,0
0uj1405b20200308,1,0.75,1,1
156cuu2w20201110,1,1,0.8,0.8
18hkpswn20201104,0.6,0,0.333,0.4
1az8fajr20200228,0.8,1,0.6,0.8
1nl62prr20201102,0.8,1,1,0.6
1xfwyety20200129,0.6,0.8,1,1
2g561hrg20200114,0.6,1,0.6,0.6
2l0c9f5y20201201,0.6,0.8,1,1
2njwll2120201105,1,0.5,0.75,0.75
2tobc1y520200127,0.333,0.8,0.5,0.8
3buyh5cf20201201,1,1,0.2,0.6
3eawrh7a20200127,1,1,1,1
3oa8oht020201103,1,0.25,0.4,0.6
3r2ryu3720201113,1,1,0.6,0.6
3snwhrt620201123,1,1,1,1
3t6e4bdy20201116,1,1,0.8,0.4
4keyrr2d20201120,0.6,0.8,0.8,0.8
4mp9c1lx20201102,0.2,0.8,0.2,0.4
52eq140x20200217,1,1,1,1
568mzqtf20201105,0.6,1,1,0.8
5vahoc0o20200127,1,0.4,0.6,0.75
5vvjswl220201208,0.2,0.6,0.2,0.2
60a2h15h20201105,0.2,0.6,0.6,0.6
70on3oc120200214,0.8,0.4,0.4,0.6
7c7ybket20200127,0.6,0.4,0.8,0.4
7t97zebw20200211,1,0.8,0.8,0.6
85kcpq4820200308,0.75,1,1,0.4
8g0oakbb20200214,0.6,0.8,0.6,0.6
8s6t5xb720200129,0.8,0.333,0.8,0.75
8xrzkbzl20201113,0.2,0.4,0,0
90za526r20200217,1,1,0.4,0.6
97b1s46u20201106,1,0.8,0.8,1
9psntbym20201207,0.8,0.6,0,0.4
9q080hvl20201204,1,1,0.6,0.6
ac6pz6rt20201102,0,0.6,0,0.2
ackgo30v20200227,0.8,1,1,1
aherzvzb20201106,0.4,0.4,0.2,0.4
ak018tef20201118,0.8,1,0.8,1
am6ox9ao20201114,1,0.4,0.4,0.6
awveeytc20201103,1,1,1,0.8
b9zlolfy20200115,0.6,1,0.8,0.5
bdhboees20201112,1,1,1,0.8
bjmjt11l20200129,0,0,0,0
blhofw6920201105,1,1,0.4,0.6
bnlv90xh20201104,1,0.6,0.8,0.8
bs5meo4o20200214,1,1,1,1
bsd3r0g520200208,1,0.8,0.4,0.6
byybve5p20200301,0.75,0.75,0.8,0.4
cm9hz4em20200226,0,0.25,0.5,0.25
ct0z9wus20201202,0,0,NA,0
d2xtpd3v20200213,1,1,0.4,0.6
dhnyqv2x20201111,0.6,0.5,0.4,0
dkhfaswf20200127,0.6,0.667,0.6,0.2
dua9l90b20201126,1,0.6,0.8,0.2
e8v50m3620201123,1,0.6,0.6,0.75
epegm9yj20201204,1,0.6,1,0.6
ervf6ysh20201119,1,0.8,0.6,0.4
etva11td20201113,1,1,0.4,0.4
eychrpxv20201114,1,1,0.8,1
f10pqxun20200128,0.8,0.8,0.4,0.2
f5y8cohy20201116,0,0.667,0,0
f94kjs2s20201109,0.667,0.5,1,0.5
fhtjasuy20200309,1,1,0.4,1
fngtfgsg20200131,1,1,1,0.4
fpbpaetl20201119,1,1,0.8,0.8
frcsr9et20201201,1,0.6,0.4,0.4
fyfm98tb20200210,0.2,0.8,0.6,0.6
g1eg0dp720201115,1,0.6,0.8,0.8
g3raaqac20201201,0.4,1,0.8,0.6
gksx3mam20201104,0.6,0,0.2,0.2
hgg52m4220200227,0.8,0.6,0,0
jcgu7ukk20201207,0.8,0.75,0.8,0.6
jh3ododj20201104,1,1,0.8,0.8
jhs83ny320200302,0.8,0.6,0.8,0.8
jsandtsm20201116,1,0.8,0.8,0.6
jszq12ry20200302,1,0.75,0.4,0.6
jtgsfocm20201110,0.75,0.6,0.4,0.4
jw9595dy20201103,0.25,0.6,0,0.2
k1nlvgjw20201120,1,0.8,0.8,0.6
k5us58ta20201118,1,1,1,1
ka19xw0720201118,0.6,0.5,0,0.6
khmdqt1d20201120,1,1,1,0.6
khmqwngv20201125,0.8,1,0.8,0.8
kkdkln3w20201121,0,0.6,0,0.4
l6mx3upp20201111,0,0,0,0
lavpu7s720201109,0.667,1,1,0.8
llfb9sc220201102,1,1,1,1
m5upgrz820200113,0.8,0.4,0.4,0.4
m77dce3920200208,0.6,0.6,0.8,0.8
mjkg31a820201102,0.6,1,0.6,0.6
mlw4ef5020200128,1,1,0.75,0.75
mzbmhmq820201113,1,1,1,1
n10np7qf20200307,0.8,1,0.8,1
nll42gx020201125,0.6,1,0.8,0.2
nmflx2le20200308,0.8,1,1,1
nn8l7htm20200208,0.8,1,1,1
nv62373d20200306,0.8,0.6,0.4,0.6
o42peyga20200227,0.667,0.75,0.75,1
o5v23rrz20200304,0.4,0.4,0.4,0.2
o6eldlqz20200129,0.8,0.5,1,0.75
ob5p7xxa20201119,0.8,1,1,0.8
ok6o9kx720200209,1,1,0.6,0.5
p2achudm20201123,1,1,1,1
p93k4k4v20201204,0.4,0.4,0.6,0.2
pglz36nx20200127,1,1,1,0.8
pl59ybvr20201103,1,0.8,0.8,0.8
plcd2fbz20200301,0.25,0.5,0.333,0.5
pmqrpsua20200130,1,0.6,0.8,0.4
pyb36j9a20200211,0.75,1,1,0.8
q1pba6fp20201106,0.6,0.5,0.5,0.5
qokbfd8720201125,0.6,0.6,0.4,0.6
qv3wta5b20201118,1,1,1,1
r9lo90ts20200130,0.667,1,0.6,1
s1somgf720200211,0.4,0.4,0.2,0
s55aohfe20200128,0.333,0.4,0,0.4
svolj44520201207,1,1,0.6,1
sw68ajzc20200213,1,1,0.2,0.4
t7dcx8xl20201203,1,0.75,1,1
t9cdwyon20200113,1,1,0.8,0.6
tkmy795t20200211,1,1,0.8,0.8
ucnl2x7f20200212,1,1,0.8,0.8
utt2nnyo20200113,0.6,0.8,0.4,0.4
uy7f303a20201124,1,0.8,0.4,0.2
vbv8ea3920201207,1,1,0.8,0.8
vd9r5nk020201111,1,0.333,0.75,1
vmm0jyvv20200217,0.8,1,0.2,0.2
vomf13pu20200214,0,0.25,0.667,0.5
w0wujzqz20201208,0.8,0.6,0.8,0
x2qq61ea20200129,1,1,0.6,0.8
x9y7eeqv20201103,0,0.2,0,0.2
xgy75o3f20201206,0.75,0.75,0.75,1
y5qncmp920200228,0.6,1,0.6,0.2
y8u8ss9t20201107,0.75,0.667,0.667,1
ygepr20b20201121,1,1,1,1
yr4btkgb20201126,0.8,1,0.4,0.6
za0p1wmj20201115,1,1,1,0.8
zalhzd5l20201120,1,1,1,1
zes08nnl20201116,0.75,0.5,1,0.8
