X1,surveyID,P_type,verif_ans,P_sentence,clear_responses,ispo
1,06hegj8j20201103,DOC,y,The teacher handed the student the certificate.,The musician is handed a guitar.,0
2,06hegj8j20201103,POI,n,The swimmer handed the towel to they driver.,The girl handed the boy a paint brush.,0
3,06hegj8j20201103,DOI,n,The photographer showed the editor them finished proofs.,The car salesman showed the couple the car.,0
4,06hegj8j20201103,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress handed the man a menu.,0
5,06hegj8j20201103,DOI,n,The disgruntled employee gave the manager them long letter.,The officer is giving the man a ticket.,0
6,06hegj8j20201103,POC,y,The mother gave the expensive toy to the hungry toddler.,The waitress gives a cane to the chef.,1
7,06hegj8j20201103,DOC,y,The happy child showed her father the coloring book.,The lawyer showed the judge the gun.,0
8,06hegj8j20201103,POC,y,The architect showed the model of the building to the architect.,The woman showed the dress to the man.,1
9,06hegj8j20201103,DOC,y,The bartender handed the customer the cocktail.,The man handed the clown a hat.,0
10,06hegj8j20201103,POC,y,The good looking bartender handed free drinks to the girls at the bar.,The girl handed the boy the letter \K.\,0
11,06hegj8j20201103,DOI,n,The spy handed the double agent them submarine blueprints.,The nurse handed the doctor a stethoscope.,0
12,06hegj8j20201103,POI,n,The millionaire gave the valuable painting to they struggling artist.,The girl gave her teacher flowers.,0
13,06hegj8j20201103,DOC,y,The fashion designer gave the famous journalist the pink jacket.,The nurse gave the sick man food.,0
14,06hegj8j20201103,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor gave the soldier a teapot.,0
15,06hegj8j20201103,DOI,n,The captain gave the old sailor they spare life jacket.,The couple gave the old lady a cake.,0
16,06hegj8j20201103,POI,n,The builder showed the blueprints to they new client.,The children showed the teacher their drawing.,0
17,06hegj8j20201103,DOC,y,The woman gave the new neighbor the rusty bike.,The girl gave the man a present.,0
18,06hegj8j20201103,POC,y,The travel agent gave the last ticket to the young fan.,The boy gave the girl a valentines letter.,0
19,06hegj8j20201103,DOI,n,The secretary handed the manager they invoice.,The librarian is handing the boy a book.,0
20,06hegj8j20201103,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,The girl is handing a plate to the boy.,1
21,08pg7vs020201109,DOI,n,The spy handed the double agent them submarine blueprints.,The doctor offered their hand.,0
22,08pg7vs020201109,POI,n,The eager boyfriend handed the box of flowers to them girlfriend.,They handed the frisbee to them.,1
23,08pg7vs020201109,DOI,n,The captain gave the old sailor they spare life jacket.,They give them the cake.,0
24,08pg7vs020201109,POC,y,The mean neighbor handed a nasty note to the woman next door.,The waitress handed them a menu.,0
25,08pg7vs020201109,DOC,y,The woman gave the new neighbor the rusty bike.,They give them a present.,0
26,08pg7vs020201109,POC,y,The good looking bartender handed free drinks to the girls at the bar.,They handed them a letter.,0
27,08pg7vs020201109,DOC,y,The happy child showed her father the coloring book.,They are showing them a gun.,0
28,08pg7vs020201109,POC,y,The travel agent gave the last ticket to the young fan.,They are giving them a heart.,0
29,08pg7vs020201109,DOI,n,The photographer showed the editor them finished proofs.,They are showing a car.,1
30,08pg7vs020201109,POC,y,The mother gave the expensive toy to the hungry toddler.,They are giving them a cane.,0
31,08pg7vs020201109,DOI,n,The secretary handed the manager they invoice.,They are handing them a book.,0
32,08pg7vs020201109,POI,n,The millionaire gave the valuable painting to they struggling artist.,They are giving their teacher flowers.,0
33,08pg7vs020201109,DOC,y,The bartender handed the customer the cocktail.,They are handing the clown a hat.,0
34,08pg7vs020201109,POI,n,The builder showed the blueprints to they new client.,They are showing their teacher their art.,0
35,08pg7vs020201109,DOC,y,The teacher handed the student the certificate.,They handed the singer their guitar.,0
36,08pg7vs020201109,POC,y,The architect showed the model of the building to the architect.,They are showing them a dress.,0
37,08pg7vs020201109,DOC,y,The fashion designer gave the famous journalist the pink jacket.,They are giving them water.,0
38,08pg7vs020201109,POI,n,The researcher gave the detailed results to them experienced surgeon.,The sailor is giving the soldier a teapot.,0
39,08pg7vs020201109,DOI,n,The disgruntled employee gave the manager them long letter.,The officer is giving them a ticket.,0
40,08pg7vs020201109,POI,n,The swimmer handed the towel to they driver.,They are handing them a paint brush.,0
41,0l8rg1mg20201128,DOC,y,The teacher handed the student the certificate.,The boy hands the guitar to the man.,1
